ID	ZT00	ZT03	ZT06	ZT09	ZT12	ZT15	ZT18	ZT21
FBgn0000092	0.818	1.334	6.614	3.849	2.994	4.255	3.095	2.97
FBgn0000259	19.162	21.182	19.103	21.926	19.404	5.234	20.412	19.861
FBgn0000259	39.005	41.99	34.19	41.949	38.434	3.091	41.84	41.053
FBgn0000259	35.474	38.551	32.183	43.201	35.686	5.305	38.746	37.818
FBgn0000259	15.701	17.391	15.326	17.768	15.823	5.053	16.772	16.157
FBgn0000459	5.571	4.486	3.3	6.741	5.91	2.796	8.489	9.177
FBgn0000479	9.614	10.748	4.986	12.022	9.402	10.822	12.112	10.942
FBgn0000479	9.708	10.373	7.893	14.123	9.693	9.875	14.886	13.336
FBgn0000479	12.532	13.849	9.501	17.222	12.812	11.035	19.884	16.988
FBgn0000479	14.003	15.463	10.144	18.214	14.025	12.813	21.187	18.119
FBgn0000479	8.779	9.799	4.543	10.961	8.548	10.22	11.063	9.959
FBgn0000479	9.288	10.477	4.884	11.378	9.271	11.063	11.847	10.523
FBgn0000479	12.976	14.387	9.595	16.815	13.306	11.406	19.488	16.999
FBgn0000479	9.716	10.44	7.921	14.254	9.764	9.967	14.913	13.371
FBgn0001233	152.135	195.427	276.837	618.422	424.548	348.456	196.028	203.247
FBgn0001297	79.746	84.364	75.048	83.805	69.706	26.149	69.724	73.516
FBgn0001624	33.846	36.268	15.873	37.299	32.707	10.229	42.302	42.778
FBgn0001624	11.62	12.953	1.141	10.287	10.148	3.369	14.108	13.783
FBgn0001624	70.073	68.556	13.082	72.557	59.126	10.333	75.813	80.977
FBgn0001624	12.743	13.803	1.126	11.127	10.788	3.644	15.116	14.907
FBgn0001624	41.701	43.991	21.095	47.803	39.201	5.404	54.138	54.454
FBgn0001624	40.46	42.987	20.337	46.272	38.096	6.711	51.636	52.053
FBgn0001624	41.848	44.124	21.152	47.971	39.339	5.423	54.311	54.691
FBgn0001624	13.193	15.055	1.306	11.813	11.6	3.413	15.905	15.831
FBgn0001624	43.541	46.137	21.86	50.263	40.838	6.617	55.712	56.425
FBgn0001624	42.253	44.498	21.101	48.633	39.558	5.765	54.392	55.039
FBgn0002413	25.163	23.67	20.431	28.985	27.172	15.845	28.547	25.608
FBgn0002413	30.561	27.708	27.046	35.87	32.998	10.915	34.462	31.528
FBgn0002413	30.458	27.522	27.179	36.52	33.253	11.052	34.436	31.864
FBgn0002917	10.428	12.078	1.089	15.038	13.025	2.441	15.818	14.107
FBgn0003301	15.385	16.268	5.178	20.304	19.014	0.867	26.089	22.796
FBgn0003301	16.421	17.377	5.534	21.997	20.207	0.951	27.441	24.295
FBgn0003301	15.636	17.44	4.549	19.102	18.967	5.308	24.498	21.278
FBgn0003301	16.246	16.956	5.449	21.664	19.882	0.943	27.113	24.047
FBgn0003371	67.379	66.331	49.436	69.974	62.238	14.72	80.135	70.739
FBgn0003371	65.684	64.823	48.393	67.635	60.848	14.458	78.195	69.054
FBgn0003371	73.046	73.917	42.517	84.303	69.973	5.717	93.338	81.986
FBgn0003371	64.254	63.566	38.435	74.659	61.895	4.945	80.498	71.678
FBgn0003371	59.967	58.253	44.372	61.645	54.943	13.86	69.497	62.36
FBgn0003371	66.68	65.594	48.874	69.178	61.554	14.552	79.224	69.971
FBgn0003371	68.095	65.347	51.366	69.189	62.11	16.035	78.49	70.32
FBgn0003371	55.127	52.549	31.743	62.278	51.127	4.568	67.29	59.094
FBgn0003371	70.578	68.768	51.888	73.568	64.909	15.8	83.129	73.915
FBgn0003380	3.029	3.606	0.145	3.769	2.914	1.273	5.651	4.537
FBgn0003380	3.682	3.51	0.176	2.998	2.831	2.291	6.023	4.721
FBgn0003380	2.238	2.238	0.116	2.194	1.764	1.293	3.852	3.234
FBgn0003380	5.122	5.795	0.25	6.076	4.61	1.791	9.154	7.407
FBgn0003380	2.318	2.844	0.115	2.686	2.137	0.72	4.259	3.554
FBgn0003380	14.441	17.253	0.719	15.457	15.425	7.775	16.38	14.543
FBgn0003429	12.486	21.624	5.075	38.151	31.707	24.677	52.364	34.751
FBgn0003429	11.788	20.399	4.931	36.445	30.373	23.576	49.542	32.936
FBgn0003429	18.744	29.286	3.408	31.014	30.82	19.529	45.298	33.621
FBgn0003429	18.059	28.096	3.206	29.294	29.276	21.49	42.738	31.88
FBgn0003429	11.809	20.332	4.931	36.445	30.358	23.087	49.508	32.948
FBgn0003429	11.887	20.456	4.928	36.686	30.468	23.338	49.765	33.108
FBgn0003429	11.802	20.389	4.963	36.585	30.164	23.338	49.626	32.822
