ID	ZT00	ZT00	ZT04	ZT04	ZT08	ZT08	ZT12	ZT12	ZT16	ZT16	ZT20	ZT20	ZT24	ZT24	ZT28	ZT28	ZT32	ZT32	ZT36	ZT36	ZT40	ZT40	ZT44	ZT44	ZT48	ZT48
AGAP001856	7.97368205328944	8.31443946309644	9.04076499298352	9.10959916997708	9.60744405405047	9.38129212130631	8.87120870513303	9.13709618142456	8.31999346776307	8.37969763102655	7.84468968058704	7.96740815606108	8.36354797023952	8.24406280720994	9.85169928899484	9.27318732106933	9.6512500864301	9.53836185379888	9.07596455571155	9.09903050458582	8.22933515979787	7.9731509127696	7.99186621028556	7.95142835275169	8.4009769618638	8.28850756144546
AGAP001856	6.74597770172929	6.83405296346258	6.47663715557562	7.02274796201058	6.525574176587	6.91608366599172	6.70650478592601	6.91183078938979	6.67460268950246	6.64806053415854	6.74269652547409	6.73512063299015	6.471800280188	6.82112100851954	6.80759620235574	6.80464551335307	6.66944887392471	6.75680646731418	6.4744178865199	6.66708715709679	6.57846147220212	6.11604779706169	6.5505626954291	6.72020146070697	6.45587832991247	6.64745908032933
AGAP004443	10.2618961871022	10.1633557940485	10.3409100000983	10.1710365423522	10.3212342699319	10.2945971395844	10.1211426622073	10.1082764947928	10.2666757502076	10.0641893646824	10.2335825364532	10.1901514284569	10.4174380381906	10.3110267527677	10.4484024709932	10.1950379698352	10.1297945059222	10.2353566536872	10.3680405529011	10.2805129302571	10.4880121393577	10.1997216467371	10.0610187041949	10.0133677724681	10.2829346400663	10.2511791859492
AGAP004443	6.59342128808609	6.64052975637246	6.50737927723672	6.65725253543472	6.50925265314998	6.73335094022814	6.68928671849879	6.89634581204353	6.84629003866395	6.70341265208904	6.66346504359169	6.73740480717523	6.56277140884287	6.83779390855827	6.51195003880448	6.68565982094557	6.54800117295286	6.78647725871877	6.63674428313483	6.79386248820991	6.22690827335087	6.38755100146456	6.5489562298177	6.51010826763782	6.4601929189086	6.78860410250733
AGAP004443	7.78189610537823	7.44936879974361	7.92862792911364	7.546551965525	8.00639556518536	7.56161302681624	7.78551660572878	7.5751155111353	7.68753986353629	7.52982555400288	7.68103877658727	7.67593427049805	7.8715737129651	7.57536484425997	8.00495035141384	7.55937581912828	7.85532667289959	7.66350961349977	7.82797740465029	7.65298331799154	7.94239157083013	7.81684950869476	7.58781030781563	7.32575579061445	7.97685105220706	7.60760140257483
AGAP005655	7.37451896200231	7.47649213593905	7.24038968060455	7.2729887867702	7.25815006865692	7.28922811525294	7.26236729875528	7.43654396823987	7.41915655468082	7.41134022880399	7.29935567657817	7.45762296488632	7.17494011862802	7.46360708481099	7.2400625643027	7.46632100152857	7.28094638646944	7.33795508868508	7.26181724567798	7.27209405016543	7.38171040728112	7.58340206927233	7.39125421107933	7.56874078184773	7.38654762131977	7.41882227670398
AGAP005655	6.6927008565107	6.73164837967659	6.54421032448702	6.79732001403709	6.63985347364574	6.46688006700954	6.69835680391035	6.74303468626614	6.82553389281951	7.04785454854118	7.16058107299301	7.16333126307324	6.42880184428611	6.56646432993602	6.64242394874204	6.76167031374809	6.65442590731461	6.48583373246585	6.75522368831706	6.8021776635856	7.1779213551746	7.06850642239875	7.24724208733081	7.24136722602899	6.44380967956677	6.64387316127322
AGAP005655	7.81500378962227	7.53526565165271	7.51724654869225	7.49672541114646	7.53239749432263	7.65329465306022	8.20217065712228	8.12118295719824	8.51021001749852	8.05881556168247	8.83496338825098	8.97441787746179	7.79949634307292	7.59546763417886	7.6829387253365	7.52894414178949	7.51482845784447	7.60599523810893	7.97498247929471	7.89862125414469	8.64485056487864	8.93194899154447	8.83457102214598	8.69195588540916	7.8030004919175	7.544014631103
AGAP005711	6.69046626588351	6.93110211708161	6.92627263832412	6.819346884549	6.53480516332036	6.89712050186655	6.77015203077652	6.82147277751177	6.65439419569874	6.88642459375146	6.62592742698712	6.65012302125948	6.64172066658263	6.98002094936511	6.67921045186517	6.91659334059488	6.66446251422911	6.72718987177294	6.87155271926495	6.86288592194587	5.93218788690405	6.22506006504881	6.71845099510649	6.72526263207554	6.63303796404287	6.64160667127772
AGAP005711	7.8155436923331	7.82583051581362	7.69073908533855	7.88228777026321	7.59343431411392	7.92205434529836	7.80407814875346	8.03798416148449	7.6690635882576	7.96475028388376	7.83978788642739	7.85564463326777	7.80014201197476	7.87189354197573	7.68736221110128	7.83803238349455	7.84956905433304	7.91734443463064	7.63308628660192	7.75060422785813	7.55983239021967	7.30213068761211	7.8546564324185	7.87022380244369	7.7378466443182	7.71935065062735
AGAP006376	8.22739451640768	8.05287993138352	8.47547069854371	8.22017738494669	8.53942404304556	8.41241295284578	8.27514592722003	8.37848258764116	8.15313755203572	8.04014397435898	8.19305527641623	8.03967258548157	8.29451610962437	8.09381659209468	8.58216511045736	8.29159027915733	8.46652150682276	8.45662963347179	8.29702562407993	8.3273752289434	8.31310262039891	8.1823343494719	8.15338544816815	8.0478815944028	8.28521573810903	8.24902046766888
AGAP007801	8.24848017782379	8.11582918555483	8.03849362593065	8.03353581387882	8.040937468107	8.16439543148465	7.83090057861135	7.92066949961748	7.95425832186156	7.87556232941055	8.31418970072841	8.16859323289846	8.14712538202376	8.10769434056762	8.06251265708522	8.19173267568711	8.03620559510054	8.05226993856961	7.97816153232581	7.89568278488962	7.87146797728978	7.83337983147651	8.16529087438873	8.00799798861046	8.1732385111456	8.15930909667852
AGAP008288	9.90190394351307	9.61209091253632	10.4955653063129	10.4638194130967	10.7920569294423	10.4729105799336	10.1802064826094	10.2774896687114	9.05994284699002	8.9542216538923	8.81291660649435	8.74446227495895	10.0358810698923	9.81267815809083	10.8328127805217	10.6318852227068	10.7644331812718	10.6510859447494	10.3641626734742	10.1947322593413	9.49085966474891	9.12796776666735	8.86617437483974	8.75116711810719	9.9736379381061	9.82075103703355
