ID	CT18	CT20	CT22	CT24	CT26	CT28	CT30	CT32	CT34	CT36	CT38	CT40	CT42	CT44	CT46	CT48	CT50	CT52	CT54	CT56	CT58	CT60	CT62	CT64
ENSMUSG00000000001	363.1	401.7	390	341	376.7	366.7	444.5	405.4	330.7	281.2	291.4	331.2	371.2	366.7	370.3	400.6	358	354.5	318.4	409.9	344.9	413.3	365.4	338.3
ENSMUSG00000001175	2291.7	2227.4	2429.9	2257.6	2179.5	2301.4	2148.4	2158.3	1929	1925.3	1981.9	2127.4	2440	2467.2	2293.1	2525.2	2203.2	2119	2041.4	2025.4	1801	1928.2	1912.9	1927.4
ENSMUSG00000001986	32.2	29.1	32.4	27.5	29.7	31.5	28.4	31.4	31.2	30.3	32.9	30.5	32.7	33.2	33.6	30.1	28.8	30.4	31.9	29.7	28.8	31.5	30.8	28.3
ENSMUSG00000002771	67.8	56.4	62.8	64.3	60.7	64.8	65.1	57.8	68	63.6	66.8	64.4	56.8	59.9	61.5	54.5	66.9	58	62.6	57	65.9	52.6	63.3	71.3
ENSMUSG00000005034	886.8	933.4	876.7	846.4	888.8	831.4	808.8	863.8	832.5	760.5	822.8	930.5	851.5	882.7	831.7	901.3	735.4	967.3	888	939	852.4	922.9	924.6	1007.4
ENSMUSG00000005469	648.6	720.9	727.8	675.6	741.4	750.2	819.8	797.1	798.5	667.5	705.5	768.1	647.7	650.1	649.5	835.2	770.4	826.2	766.9	751.2	775	826.7	813.3	760.9
ENSMUSG00000005580	435.7	515.9	497.9	385.2	511	559.1	559.9	595.2	554.5	531.1	496.6	480.4	454.4	388.5	375.4	453.7	427.1	586.6	620.7	525	592.6	649.9	598.7	549.6
ENSMUSG00000015968	48.9	47	48.2	46.7	45	46.7	44.9	44.9	45.3	40.6	46.2	45.4	47.4	50.3	47.8	44.5	46.9	45.1	44.8	45.2	48.4	49.6	46.6	47
ENSMUSG00000019370	747.4	838.2	983.1	822.5	979.8	945.4	915.8	948.3	875.4	768.9	797.1	872.1	985.5	965.6	861.5	904	855.6	888.8	832.2	825.1	865.8	875.7	902.8	810
ENSMUSG00000020431	79.4	72.6	83.9	78	80.2	85.8	71	76.9	85.1	92.4	87.3	82.7	74.3	74.3	80	76.3	87.1	79.3	83.8	77	85.4	74.4	76.9	78.8
ENSMUSG00000020524	34.2	30.8	30.3	36.9	34.1	37.1	28.6	30.1	34.9	35.9	33.4	32.6	32.1	29.3	33.3	30.6	35.7	33.5	30.8	34	32.6	28.2	34.6	34.9
ENSMUSG00000020654	472	496.6	452.9	469.9	576.3	610.3	861.4	877.7	898.5	714.5	618.1	710.3	410.8	434	403.5	494.2	534.5	655.8	624.2	797.4	810.2	723.1	678.4	575.9
ENSMUSG00000020734	53.9	60.3	57.3	62.3	57.9	64.7	51.4	56.6	61.3	66.4	59.6	60	57.5	53.4	53.2	55.6	58.9	56.7	62	55.2	66.2	52.4	55.6	61.3
ENSMUSG00000020866	65.7	77.7	75.8	77.1	69.7	73.5	60.3	75.5	74.2	69.8	71	74.7	71.6	71.8	73.6	74.6	74.4	72.8	72.7	76.5	71	61.7	79.1	65.7
ENSMUSG00000020893	230.4	482.5	381.6	213.1	367.4	199.8	669.6	648.4	762	650	480	367.1	277.5	416	301.3	168.5	240.1	465.5	408.1	549.3	804.4	751.2	443.9	264.7
ENSMUSG00000021180	368	414.3	358.3	287.9	397.9	363.3	419.4	440.9	353.5	371.6	296.7	306.4	322.8	367.7	315.9	320.2	357.6	438.9	439.5	416.2	378.1	412.9	331.2	326.9
ENSMUSG00000021250	59.1	61.2	66	65.3	63.7	63.4	46.5	53.7	57.2	60.4	58.3	62.1	63.8	69.4	74.6	53	59.5	54.2	57.6	55.7	69.2	56.6	57.8	53.7
ENSMUSG00000021313	63.8	61.6	68	68.3	67.7	68.6	63	64.6	70.3	70.6	74.7	69.5	65	63.8	69.7	62.1	69.9	63.4	67.5	66.1	75	66.5	66.4	74.8
ENSMUSG00000021536	100.7	116.5	96.2	80.7	58.9	57.1	54.7	64.1	67.6	65.3	71.5	66.9	120.4	141.2	102.9	80.4	69.9	62.7	73.7	70.2	77.9	61.4	53.7	67.8
ENSMUSG00000021820	315.4	343.9	352.2	301.7	286.1	240.5	284.5	273.2	256.4	212.2	245.6	250.6	379.5	335.9	358.6	343.8	244.5	304.5	300.1	284.4	240.7	266.2	233.8	221.5
ENSMUSG00000021933	36.8	36.2	40.1	39.6	37.9	37.4	35.4	36.4	37.6	36.8	43.6	36.5	36.4	34.8	35.5	34.7	42.6	34.2	34.4	36.7	35.7	36.8	35	38.2
ENSMUSG00000022220	326.2	354.1	415.6	362.6	410.1	421.4	487.3	535.8	543.2	400.5	441.2	430.5	344.3	390.4	402.3	335.1	442.7	413.7	369.6	499.3	561.9	533	420.7	353.8
ENSMUSG00000022376	30.6	36.5	33.7	39	33.8	39.3	33.8	30.6	34.3	34.1	39.1	41.6	38.6	38.2	38.4	34.1	37.3	34.2	35.9	35.7	38.9	34.1	38.8	36.4
ENSMUSG00000022416	50.9	51.7	51.1	59.7	54.8	54.9	48.3	54.8	57.8	58.2	60.8	61.5	53.7	55.1	54.9	54.7	55.5	52.5	53.7	59.2	58	52.6	53.8	53.3
ENSMUSG00000022840	106.5	113.8	138.4	118.6	96.3	94.4	105.8	114.7	120.6	85.1	91.1	81	121.7	127.5	149.2	139.9	113.9	93	93.9	107.8	95.1	104.1	99.1	89.9
ENSMUSG00000022994	777.9	853.6	925.7	937.5	1050.9	1065.2	1117.3	1084.4	1012.2	1001	1011.3	1049.4	829.1	771.2	815.7	922.8	947.4	1059.8	1059.8	1015.2	1193.3	1100.6	1087.6	997.5
ENSMUSG00000023439	79	72.2	83.5	83.1	82.3	78.4	79.9	71	79.3	73.2	74.8	82	77.8	73.3	86.6	81.6	68.2	84.4	74.1	77.1	83.7	87.5	80.6	82.9
ENSMUSG00000024112	77.9	87.1	80.9	82.5	76.9	76.8	71.6	71.8	73.3	76.4	73.7	84.2	74.2	75.4	78.4	75.3	73.5	77.3	73.5	71.3	74.8	80.4	77.4	76.7
ENSMUSG00000024256	32.3	35.2	39.6	37.1	34.8	35.1	27.4	32.3	35.1	37.8	34.1	37.1	33	34.5	35.2	33	34.9	32.4	38.6	29.5	37.7	33.9	38.3	38.2
ENSMUSG00000024617	138.2	124.3	136.9	124.1	75.4	81	83.1	93.5	81.3	69.9	87.2	73.2	135.9	150.1	128.2	114.9	83.4	76.5	92.6	97.2	77.1	68.3	70.1	79
ENSMUSG00000024639	619.7	592.1	571.3	552.2	629.8	570	596.1	576.5	494.3	475.2	535.5	553.2	610.5	561.4	520.2	582.9	527.8	574.5	535.8	531.2	481.2	559.3	582.9	557.6
ENSMUSG00000024960	554.3	564.1	591.7	544.5	597.3	636.2	602.8	594.5	565.4	541.6	591.2	614.4	521	446.4	506.9	615.9	565.3	560	569.9	578	593.9	613.3	625.4	564.3
ENSMUSG00000025739	59.8	67.5	60.4	62.8	57.5	60.9	58.1	63.4	63.5	60.5	64.4	55.1	61.1	60.6	66.7	59.9	62.5	59.3	62.6	58.1	64.1	53.2	63	60
ENSMUSG00000025892	35.7	34.5	30.8	39.2	38.4	37.1	40.5	33	38.3	34.3	38.1	38.5	35.5	40.9	33.7	37.2	39.5	40.1	36.5	41.8	38.2	35	34.7	44.3
ENSMUSG00000025958	442.5	463.4	414.3	435.5	439.1	411.2	450.3	465.7	405.6	380.7	424.5	414.3	456.9	440.4	426.1	443	441.2	449.9	418	446.4	402	461.1	434.2	442
ENSMUSG00000026567	44	35.2	34.5	33.8	37.8	36.6	39.1	36.1	34.9	34.4	39.7	38.2	40	38.6	34	44.6	43.5	35.1	38.5	35.9	33.8	31.1	40.5	35.5
ENSMUSG00000026824	54.8	47.3	52.6	58.8	51.8	60.8	53.7	53.5	48.9	59.1	62.4	52.5	56.7	58.5	53	53	63.6	62.6	54.7	55.7	53.8	57	59.8	62.9
ENSMUSG00000026959	68.5	79.9	73.4	70	76.1	76.3	66	72.8	74.7	78.1	76.1	73.5	67.5	71.6	73.4	71.6	71.6	75.4	68.7	70.4	74.6	67.8	78.1	72.1
