ID	ZT00	ZT06	ZT12	ZT18
FBgn0000092	1.238	1.631	1.832	1.342
FBgn0000259	22.076	24.656	22.546	22.401
FBgn0000259	13.232	12.966	12.674	11.998
FBgn0000259	22.396	24.193	22.977	23.18
FBgn0000259	10.782	10.729	10.479	9.728
FBgn0000459	1.379	1.471	1.294	1.28
FBgn0000479	5.887	5.663	7.828	5.513
FBgn0000479	4.433	4.252	6.595	5.301
FBgn0000479	4.39	4.645	5.521	5.329
FBgn0000479	4.461	4.236	6.629	5.287
FBgn0000479	4.409	4.588	5.424	5.27
FBgn0000479	5.995	5.984	8.458	5.919
FBgn0000479	6.427	6.192	8.599	6.015
FBgn0000479	4.444	4.964	5.722	5.582
FBgn0001233	716.04	572.557	885.697	850.384
FBgn0001297	84.171	44.298	59.281	49.094
FBgn0001624	18.274	20.362	18.389	16.335
FBgn0001624	6.252	5.498	4.77	5.113
FBgn0001624	15.189	17.314	15.108	14.261
FBgn0001624	1.474	1.107	1.011	0.854
FBgn0001624	15.2	17.305	15.045	14.231
FBgn0001624	15.19	17.297	15.101	14.301
FBgn0001624	1.47	1.142	1.062	0.805
FBgn0001624	1.618	1.164	0.976	0.815
FBgn0001624	14.636	16.16	14.802	13.104
FBgn0001624	17.555	19.728	17.849	16.319
FBgn0002413	12.025	13.896	12.417	12.382
FBgn0002413	14.439	17.229	14.901	15.859
FBgn0002413	14.412	17.203	15.11	16.071
FBgn0002917	0.293	0.089	0.183	0.172
FBgn0003301	2.108	1.71	2.014	1.764
FBgn0003301	2.874	2.505	3.011	2.219
FBgn0003301	2.227	1.788	2.165	1.856
FBgn0003301	2.191	1.81	2.158	1.854
FBgn0003371	30.501	29.106	26.189	31.225
FBgn0003371	26.771	24.922	20.694	26.722
FBgn0003371	51.247	48.224	43.518	51.535
FBgn0003371	50.231	47.273	42.702	50.437
FBgn0003371	50.728	47.703	43.024	50.992
FBgn0003371	54.253	50.668	45.406	54.408
FBgn0003371	54.08	50.781	45.98	54.578
FBgn0003371	47.206	44.116	39.446	47.291
FBgn0003371	26.323	25.066	22.467	27.19
FBgn0003380	0.496	0.174	0.309	0.479
FBgn0003380	0.542	0.184	0.273	0.35
FBgn0003380	0.603	0.246	0.395	0.455
FBgn0003380	0.628	0.382	0.505	0.445
FBgn0003380	0.264	0.113	0.242	0.285
FBgn0003380	0.535	0.21	0.224	0.414
FBgn0003429	1.836	2.843	3.817	2.291
FBgn0003429	1.981	2.849	3.798	2.335
FBgn0003429	1.955	2.787	3.736	2.311
FBgn0003429	1.954	2.796	3.788	2.335
FBgn0003429	1.864	2.859	3.875	2.316
FBgn0003429	1.257	1.681	2.256	1.443
FBgn0003429	1.968	2.804	3.736	2.319
FBgn0003429	1.345	1.827	2.424	1.54
FBgn0003460	4.942	3.522	4.542	3.629
FBgn0003997	2.495	1.679	1.877	2.736
FBgn0004168	0.892	0.303	0.288	0.61
FBgn0004244	0.306	0.138	0.326	0.341
FBgn0004244	0.179	0.046	0.172	0.249
FBgn0004244	0.314	0.138	0.326	0.336
FBgn0004611	15.466	13.124	9.662	13.875
FBgn0004611	15.783	13.115	9.818	14.072
FBgn0004618	0.484	0.162	0.292	0.489
FBgn0004864	4.582	4.836	4.875	4.996
FBgn0005536	13.955	14.028	13.588	11.353
FBgn0005536	20.141	19.029	19.62	15.203
FBgn0005536	19.126	18.104	18.492	14.441
FBgn0005536	16.505	15.62	15.815	12.544
FBgn0005631	2.734	2.226	2.01	2.653
FBgn0005631	2.702	2.16	1.978	2.583
FBgn0011205	182.914	177.136	180.941	127.553
FBgn0011205	182.768	183.654	177.819	131.501
FBgn0011205	203.946	197.228	202.434	141.772
FBgn0011604	4.034	4.965	5.496	4.644
FBgn0011604	3.952	4.831	5.347	4.507
FBgn0011640	25.873	26.019	33.801	29.817
FBgn0011640	22.559	23.04	29.719	25.83
FBgn0011640	26.121	26.463	34.33	29.639
FBgn0011656	13.21	11.243	10.306	9.412
FBgn0011656	11.517	9.616	8.979	7.593
FBgn0011656	12.574	10.727	9.927	8.479
FBgn0011656	13.276	11.316	10.346	9.433
FBgn0011656	11.378	9.767	9.032	7.537
FBgn0012344	1.197	0.3	0.601	0.543
FBgn0014020	306.32	280.854	281.931	266.976
FBgn0014395	1.361	1.373	1.434	1.518
FBgn0014396	22.574	14.601	85.122	142.154
FBgn0014396	12.321	8.279	40.872	72.326
FBgn0014396	23.114	14.981	87.259	145.405
FBgn0015221	3030.376	4088.632	2814.26	3539.679
FBgn0015221	3100.388	4185.004	2880.723	3622.535
FBgn0015269	4.071	3.761	3.294	3.371
FBgn0015269	3.115	2.756	2.152	2.522
FBgn0015379	13.823	17.298	19.405	19.643
FBgn0015544	2.295	3.96	4.92	4.884
FBgn0016076	39.711	19.556	47.75	43.674
FBgn0016076	37.766	18.969	45.77	41.428
FBgn0016694	64.981	52.434	130.601	128.664
FBgn0016694	61.428	49.454	116.888	111.983
FBgn0016694	69.801	55.775	124.961	120.227
FBgn0020445	3.233	1.124	1.478	1.432
FBgn0020445	2.625	0.847	1.127	1.166
FBgn0022382	8.908	6.584	9.198	8.541
FBgn0023094	22.523	24.439	21.297	24.588
FBgn0023178	1.455	0.623	1.264	0.387
FBgn0023407	20.601	16.373	12.341	13.542
FBgn0023416	0.378	0.276	0.358	0.442
FBgn0023416	0.466	0.299	0.277	0.495
FBgn0024150	2.963	1.374	1.447	1.322
FBgn0024150	2.422	1.023	1.188	1.101
FBgn0025777	9.321	9.974	8.13	9.408
FBgn0025777	10.974	11.573	10.372	10.464
FBgn0025777	8.482	8.709	7.515	8.921
FBgn0025777	9.329	9.994	8.141	9.443
FBgn0026083	4.967	4.515	4.003	4.586
FBgn0026083	5.099	4.789	4.237	4.733
FBgn0026083	6.637	6.688	6.033	6.226
FBgn0026083	6.63	6.682	6.027	6.219
FBgn0026086	4.007	3.738	3.695	3.704
FBgn0026086	3.897	3.434	3.387	3.682
FBgn0026086	4.203	3.896	3.754	4.164
FBgn0026086	3.689	3.633	3.379	3.288
FBgn0026086	4.778	4.701	4.363	4.454
FBgn0026086	4.26	3.947	3.85	4.186
FBgn0026401	14.637	14.234	14.387	14.38
FBgn0026401	13.985	13.644	13.75	13.714
FBgn0027109	7.092	0.367	0.392	0.836
FBgn0027109	7.218	0.374	0.399	0.851
FBgn0027109	6.912	0.329	0.351	0.765
FBgn0027932	60.213	100.268	103.445	97.379
FBgn0028622	6.304	2.129	2.65	2.324
FBgn0028734	13.747	13.763	13.2	11.442
FBgn0028734	10.892	11.702	10.155	9.85
FBgn0028734	6.703	7.915	6.178	6.37
FBgn0028734	12.457	12.612	11.781	10.53
FBgn0029823	268.37	223.376	139.442	271.507
FBgn0030228	6.138	4.848	4.862	5.603
FBgn0030555	5.841	6.566	6.533	7.61
FBgn0031414	0.487	0.197	0.27	0.471
FBgn0031634	0.83	0.389	0.677	0.79
FBgn0031634	0.784	0.368	0.643	0.749
FBgn0031634	0.819	0.364	0.662	0.767
