aedes_ID	anopheles_ID	orthotype	OMAgroup
AAEL008198	AGAP007256	1:1	
AAEL008211	AGAP007255	1:m	498155
AAEL008211	AGAP007266	1:m	
AAEL008220	AGAP007254	1:1	555467
AAEL008208	AGAP005663	n:m	611970
AAEL008208	AGAP005664	n:m	
AAEL008208	AGAP005665	n:m	
AAEL008208	AGAP005670	n:m	
AAEL008208	AGAP005671	n:m	
AAEL008207	AGAP005663	n:m	
AAEL008207	AGAP005664	n:m	585244
AAEL008207	AGAP005665	n:m	
AAEL008207	AGAP005670	n:m	
AAEL008207	AGAP005671	n:m	
AAEL008203	AGAP005663	n:m	
AAEL008203	AGAP005664	n:m	
AAEL008203	AGAP005665	n:m	
AAEL008203	AGAP005670	n:m	
AAEL008203	AGAP005671	n:m	580379
AAEL008221	AGAP005663	n:m	
AAEL008221	AGAP005664	n:m	
AAEL008221	AGAP005665	n:m	
AAEL008221	AGAP005670	n:m	611490
AAEL008221	AGAP005671	n:m	
AAEL008218	AGAP007252	1:1	
AAEL008196	AGAP007262	1:m	592121
AAEL008196	AGAP002432	1:m	
AAEL008206	AGAP005663	n:m	
AAEL008206	AGAP005664	n:m	
AAEL008206	AGAP005665	n:m	569786
AAEL008206	AGAP005670	n:m	
AAEL008206	AGAP005671	n:m	
AAEL008199	AGAP005642	1:1	574523
AAEL008202	AGAP006672	1:1	612243
AAEL008197	AGAP005704	1:1	281668
AAEL008212	AGAP006673	1:1	614033
AAEL008214	AGAP005708	1:1	611722
AAEL008201	AGAP005709	1:1	277444
AAEL008235	AGAP006533	n:1	
AAEL008227	AGAP004450	1:1	508940
AAEL008222	AGAP004449	1:1	762743
AAEL008234	AGAP004448	1:1	
AAEL008226	AGAP004447	1:1	562184
AAEL008232	AGAP001027	n:1	547596
AAEL008231	AGAP006691	n:1	
AAEL008236	AGAP001410	1:1	552962
AAEL008241	AGAP009795	1:1	504015
AAEL008240	AGAP009796	1:1	287424
AAEL008237	AGAP009797	n:1	
AAEL008258	AGAP002531	1:1	
AAEL008256	AGAP002532	1:1	752896
AAEL008243	AGAP002530	1:1	738853
AAEL008246	AGAP002529	1:1	851631
AAEL008255	AGAP002528	1:1	836576
AAEL008242	AGAP002527	1:1	549861
AAEL008248	AGAP002525	1:1	847229
AAEL008249	AGAP002526	1:1	854154
AAEL008250	AGAP002524	1:1	795271
AAEL008244	AGAP002523	1:1	853777
AAEL008247	AGAP001929	1:1	761186
AAEL008257	AGAP001930	1:1	549119
AAEL008245	AGAP001932	1:1	277920
AAEL008254	AGAP001931	1:1	777766
AAEL008252	AGAP006881	1:1	302960
AAEL008268	AGAP007353	n:1	
AAEL008269	AGAP004761	1:1	697208
AAEL008278	AGAP004762	1:1	530548
AAEL008281	AGAP004763	1:1	530719
AAEL008279	AGAP012166	1:1	530658
AAEL008271	AGAP012165	n:1	
AAEL008275	AGAP012165	n:1	530598
AAEL008282	AGAP011179	n:1	
AAEL008267	AGAP011179	n:1	741292
AAEL008276	AGAP003223	n:m	
AAEL008276	AGAP008616	n:m	
AAEL008283	AGAP011184	1:1	672314
AAEL008259	AGAP011183	1:1	672313
AAEL008277	AGAP010283	1:1	
AAEL008270	AGAP012633	1:1	800870
AAEL008273	AGAP010286	1:1	554817
AAEL008263	AGAP010288	1:1	851298
AAEL008262	AGAP010289	1:1	559142
AAEL008290	AGAP006095	n:m	
AAEL008290	AGAP007040	n:m	285472
AAEL008288	AGAP005454	n:1	
AAEL008284	AGAP005454	n:1	682252
AAEL008294	AGAP005454	n:1	
AAEL008293	AGAP005455	1:1	
AAEL008285	AGAP005456	1:1	682235
AAEL008291	AGAP005462	1:1	809131
AAEL008292	AGAP005464	1:1	657290
AAEL008301	AGAP000489	1:1	
AAEL008296	AGAP000115	n:m	
AAEL008296	AGAP000351	n:m	657548
AAEL008302	AGAP000112	n:1	854242
AAEL008312	AGAP001024	n:1	338918
AAEL008313	AGAP001024	n:1	
AAEL008308	AGAP001024	n:1	
AAEL008318	AGAP000153	1:1	785969
AAEL008316	AGAP000751	1:1	848161
AAEL008307	AAO39755.1	1:1	332918
AAEL008303	AGAP000749	1:1	542531
AAEL008306	AGAP000747	1:1	856171
AAEL008321	AGAP008868	1:1	338688
AAEL008320	AGAP008869	1:1	839070
AAEL008325	AGAP008870	1:1	830087
AAEL008322	AGAP008871	1:1	641171
AAEL008327	AGAP008872	1:1	542320
AAEL008330	AGAP010535	1:1	537353
AAEL008319	AGAP010217	1:1	780360
AAEL008324	AGAP010009	1:1	276723
AAEL008323	AGAP010215	1:1	813284
AAEL008329	AGAP010216	1:1	809723
AAEL008332	AGAP000140	n:1	
AAEL008336	AGAP008274	1:1	559535
AAEL008337	AGAP008569	n:1	738375
AAEL008338	AGAP008559	n:1	
AAEL008345	AAL58561.1	n:1	
AAEL008347	AGAP000717	1:1	564325
AAEL008342	AGAP000718	1:1	561502
AAEL008341	AAC29475.1	1:1	861670
AAEL008340	AGAP000720	1:1	850296
AAEL008349	AGAP007639	n:1	
AAEL008357	AGAP007137	n:1	714562
AAEL008351	AGAP006346	1:1	
AAEL008358	AGAP005425	1:1	548116
AAEL008353	AGAP005427	1:1	817542
AAA68961.1	AAV87217.1	1:1	637293
AAEL008368	AGAP006666	n:m	
AAEL008368	AGAP006667	n:m	
AAEL008368	AGAP004354	n:m	
AAEL008368	AGAP004357	n:m	
AAEL008368	AAL47188.1	n:m	
AAEL008368	AAL35509.1	n:m	
AAEL008368	AGAP009111	n:m	
AAEL008368	AGAP009392	n:m	
AAEL008368	AGAP009393	n:m	
AAEL008368	AGAP009394	n:m	
AAEL008368	AGAP009396	n:m	
AAEL008368	AGAP009409	n:m	
AAEL008368	AGAP009410	n:m	278135
AAEL008368	AGAP012854	n:m	
AAEL008375	AGAP003131	1:1	
AAEL008374	AGAP003133	1:1	739716
AAEL008365	AGAP004017	n:1	284640
AAEL008367	AGAP003134	1:1	750349
AAEL008363	AGAP003135	1:1	561840
AAEL008366	AGAP003136	1:1	858256
AAEL008373	AGAP003138	1:1	763675
AAEL008364	AAR13774.1	1:m	847722
AAEL008364	AGAP012938	1:m	
AAEL008371	AGAP003140	1:1	807404
AAEL008362	AGAP003374	1:1	
AAEL008370	AGAP003373	1:1	749620
AAEL008390	AGAP012163	1:1	812924
AAEL008387	AGAP012161	1:1	552268
AAEL008377	AGAP012160	1:1	806044
AAEL008376	AGAP012159	1:1	338251
AAEL008388	AGAP007504	1:1	567765
AAEL008384	AGAP012156	1:1	549666
AAEL008386	AGAP012155	1:1	
AAEL008381	AGAP012154	1:1	
AAEL008393	AGAP012146	1:1	766715
AAEL008391	AGAP012144	1:1	542410
AAEL008394	AGAP012145	1:1	837002
AAEL008392	AGAP012143	1:1	834798
AAEL008389	AGAP012141	1:1	548747
AAEL008402	AGAP005654	n:1	
AAEL008401	AGAP000805	1:1	785982
AAEL008411	AGAP004740	n:1	
AAEL008408	AGAP000808	1:1	787663
AAEL008403	AGAP000809	1:1	555947
AAEL008398	AGAP000810	1:1	792432
AAEL008407	AGAP000811	1:1	571007
AAEL008412	AGAP000291	n:1	
AAEL008419	AGAP002313	1:1	754824
AAEL008421	AGAP002310	1:1	548897
AAEL008418	AGAP002308	1:1	844490
AAEL008417	AGAP004110	1:1	816730
AAEL008416	AGAP002307	1:1	808196
AAEL008413	AGAP004112	1:1	559170
AAEL008429	AGAP004580	1:1	283914
AAEL008431	AGAP002166	1:1	782691
AAEL008425	AGAP000832	1:1	689447
AAEL008432	AGAP002366	1:1	
AAEL008428	AGAP002365	1:1	
AAEL008427	AGAP004588	1:1	790129
AAEL008444	AGAP008922	n:1	340145
AAEL008438	AGAP008924	1:1	338023
AAEL008443	AGAP008697	1:1	852335
AAEL008448	AGAP006666	n:m	
AAEL008448	AGAP006667	n:m	
AAEL008448	AGAP004354	n:m	
AAEL008448	AGAP004357	n:m	
AAEL008448	AAL47188.1	n:m	
AAEL008448	AAL35509.1	n:m	273450
AAEL008448	AGAP009111	n:m	
AAEL008448	AGAP009392	n:m	
AAEL008448	AGAP009393	n:m	
AAEL008448	AGAP009394	n:m	
AAEL008448	AGAP009396	n:m	
AAEL008448	AGAP009409	n:m	
AAEL008448	AGAP009410	n:m	
AAEL008448	AGAP012854	n:m	
AAEL008442	AGAP006666	n:m	
AAEL008442	AGAP006667	n:m	
AAEL008442	AGAP004354	n:m	
AAEL008442	AGAP004357	n:m	
AAEL008442	AAL47188.1	n:m	276405
AAEL008442	AAL35509.1	n:m	
AAEL008442	AGAP009111	n:m	
AAEL008442	AGAP009392	n:m	
AAEL008442	AGAP009393	n:m	
AAEL008442	AGAP009394	n:m	
AAEL008442	AGAP009396	n:m	
AAEL008442	AGAP009409	n:m	
AAEL008442	AGAP009410	n:m	
AAEL008442	AGAP012854	n:m	
AAEL001041	AGAP005913	1:1	565378
AAEL001018	AGAP002628	1:1	592873
AAEL001030	AGAP002627	1:1	711102
AAEL001038	AGAP002646	1:1	547099
AAEL001046	AGAP003976	1:1	529792
AAEL001031	AGAP003977	1:1	338266
AAEL001036	AGAP003979	1:1	724740
AAEL001032	AGAP003983	1:1	554695
AAEL001029	AGAP008772	1:1	548144
AAEL001014	AGAP003980	1:1	738123
AAEL001039	AGAP003981	1:1	
AAEL001033	AGAP003982	1:1	774887
AAEL001048	AGAP003984	1:1	508568
AAEL001017	AGAP003986	1:1	561190
AAEL001016	AGAP003991	1:1	518838
AAEL001052	AGAP001502	1:1	859373
AAEL001044	AGAP003003	1:1	860255
AAEL001022	AGAP001501	n:1	
AAEL001020	AGAP001501	n:1	767722
AAEL001037	AGAP003002	1:1	546996
AAEL001019	AGAP003001	1:1	863715
AAEL001047	AGAP003000	1:1	548723
AAEL001050	AGAP002999	1:1	771988
AAEL001034	AGAP002998	1:1	
AAEL001015	AGAP008671	n:1	
AAEL008450	AGAP002323	1:1	332585
AAEL008455	AGAP002322	1:1	700212
AAEL008454	AGAP002320	1:1	
AAB60934.1	AGAP002317	1:1	
AAEL008468	AGAP000162	1:1	864848
AAEL008462	AGAP000161	1:1	515692
AAEL008459	AGAP000660	1:1	
AAEL008465	AGAP003865	1:1	834253
AAEL008461	AGAP001069	1:1	851323
AAEL008458	AGAP011251	1:1	843933
AAEL008466	AGAP012428	1:1	278314
AAEL008463	AGAP010670	1:1	547582
AAEL008483	AGAP011613	1:1	738341
AAEL008489	AGAP007666	1:1	547782
AAEL008478	AGAP007665	1:1	334747
AAEL008485	AGAP007663	1:1	750877
AAEL008484	AGAP007573	1:1	266514
AAEL008490	AGAP007574	1:1	852934
AAEL008475	AGAP007578	1:1	845879
AAEL008486	AGAP007577	1:1	
AAEL008491	AGAP007576	1:1	541453
AAEL008476	AGAP007579	1:1	805922
AAEL008481	AGAP007580	1:1	864827
AAEL008472	AGAP007581	1:1	646345
AAEL008473	AGAP007583	n:1	
AAEL008488	AGAP007583	n:1	
AAEL008479	AGAP007584	n:1	580690
AAEL008495	AGAP009126	1:1	554131
AAEL008502	AGAP009127	1:1	796825
AAEL008494	AGAP009128	1:1	498002
AAEL008498	AGAP009129	1:1	
AAEL008493	AGAP009130	1:1	555179
AAEL008497	AGAP009132	1:1	747755
AAEL008492	AGAP009134	1:1	752135
AAEL008505	AGAP009133	1:1	853941
AAEL008500	AGAP009135	1:1	546945
AAEL008513	AGAP005489	n:1	
AAEL008508	AGAP005538	n:1	
AAEL008506	AGAP006998	n:1	
AAEL008517	AGAP006996	1:1	863708
AAEL008509	AGAP006997	1:1	781708
AAEL008519	AGAP005321	1:1	742392
AAEL008507	AGAP005322	1:1	549553
AAEL008512	AGAP005323	n:1	636835
AAEL008514	AGAP005324	n:1	811304
AAEL008518	AGAP005145	n:m	518816
AAEL008518	AGAP005146	n:m	
AAEL008542	AGAP000561	1:1	548155
AAEL008530	AGAP000814	1:1	
AAEL008536	AGAP005348	n:1	
AAEL008522	AGAP005348	n:1	290594
AAEL008521	AGAP000615	n:1	
AAEL008546	AGAP001515	1:1	829762
AAEL008528	AGAP002438	1:1	
AAEL008532	AGAP011507	n:m	
AAEL008532	AGAP011509	n:m	279320
AAEL008553	AGAP002439	1:1	
AAEL008543	AGAP002440	1:1	522092
AAEL008558	AGAP004828	1:1	547712
AAEL008568	AGAP006775	n:1	
AAEL008560	AGAP006775	n:1	
AAEL008566	AGAP004829	1:1	747617
AAEL008562	AGAP004830	1:1	757740
AAEL008570	AGAP004831	1:1	
AAEL008556	AGAP004833	1:m	
AAEL008556	AGAP012699	1:m	550508
AAEL008561	AGAP006950	1:1	808469
AAEL008565	AGAP006949	1:1	
AAEL008569	AGAP006948	1:1	
AAEL008564	AGAP007023	1:1	748449
AAEL008557	AGAP005193	1:1	790080
AAEL008588	AGAP001477	1:1	769164
AAEL008587	AGAP001478	1:1	770481
AAEL008575	AGAP002151	1:1	547385
AAEL008585	AGAP001482	1:1	548709
AAEL008583	AGAP011880	1:1	832174
AAEL008577	AGAP011883	1:1	830066
AAEL008572	AGAP011884	1:1	
AAEL008576	AGAP011885	1:1	753746
AAEL008582	AGAP011886	1:1	855447
AAEL008574	AGAP011798	1:1	852236
AAEL008579	AGAP011545	1:1	266343
AAEL008584	AGAP012330	1:1	852543
AAEL008606	AGAP008363	n:1	
AAEL008607	AGAP008364	1:1	
AAEL008598	AGAP008369	1:1	790877
AAEL008609	AGAP008370	n:1	
AAEL008600	AGAP008370	n:1	
AAEL008594	AGAP008375	1:1	845756
AAEL008605	AGAP008374	1:1	858365
AAEL008601	AGAP008376	1:1	855923
AAEL008603	AGAP008377	1:1	822591
AAEL008592	AGAP008087	1:1	548301
AAEL008595	AGAP002022	1:1	
AAEL008608	AGAP008089	1:1	501175
AAEL008589	AGAP008091	1:1	700033
AAEL008593	AGAP008092	n:1	546862
AAEL008613	AGAP004340	1:1	259878
AAEL008611	AGAP004341	1:1	845586
AAEL008617	AGAP004344	1:1	731640
AAEL008620	AGAP006278	1:1	338120
AAEL008627	AGAP009472	1:1	
AAEL008628	AGAP009468	1:1	563281
AAEL008631	AGAP009464	1:1	557283
AAEL008635	AGAP009463	1:1	548595
AAEL008634	AGAP009461	1:1	548210
AAEL008622	AGAP009460	1:1	577152
AAEL008621	AGAP009459	1:1	547096
AAEL008623	AGAP009458	1:1	858387
AAEL008630	ABA56305.1	1:1	498835
AAEL008642	AGAP005771	1:1	773263
AAEL008637	AGAP005772	n:1	547216
AAEL008648	AGAP005772	n:1	
AAEL008641	AGAP005773	1:1	498832
AAEL008638	AAU93487.1	1:1	818997
AAEL008645	AGAP005063	1:1	516374
AAEL008636	AGAP007098	1:1	495654
AAEL008646	AGAP010761	n:m	
AAEL008646	AGAP010774	n:m	
AAEL008646	AAR13732.1	n:m	280446
AAEL008646	AGAP011223	n:m	
AAEL008647	AGAP007100	1:1	803188
AAEL008643	AGAP007102	1:1	658788
AAEL008652	AGAP001961	1:1	
AAEL008650	AGAP001959	1:1	
AAEL008653	AGAP001450	1:1	732755
AAEL008651	AGAP001449	1:1	333157
AAEL008656	AGAP001447	1:1	665209
AAEL008661	AGAP001446	1:1	322932
AAEL008654	AGAP001445	1:1	800243
AAEL008663	AGAP011125	1:1	798238
AAEL008657	AGAP004428	1:1	
AAEL008671	AGAP009852	1:1	764146
AAEL008672	AGAP009850	1:1	548805
AAEL008670	AGAP009847	1:1	266131
AAEL008673	AGAP009846	1:1	522121
AAEL008664	AGAP000784	1:1	547493
AAEL008683	AGAP005831	1:1	
AAEL008681	AGAP002910	n:m	
AAEL008681	AGAP002911	n:m	
AAEL008681	AGAP010708	n:m	
AAEL008684	AGAP005830	1:1	812024
AAEL008678	AGAP005829	1:1	641069
AAEL008677	AGAP005826	1:1	725424
AAEL008676	AGAP005825	1:1	856982
AAEL008674	AGAP005824	1:1	
AAEL008680	AGAP005823	1:1	801397
AAEL008691	AGAP008978	n:1	
AAEL008688	AGAP008977	n:1	498959
AAEL008685	AGAP008979	1:1	
AAEL008694	AGAP008980	1:1	567639
AAEL008690	AGAP008981	n:1	330137
AAEL008689	AGAP008981	n:1	
AAEL008693	AGAP008982	n:1	
AAEL008686	AGAP008983	n:1	
AAEL008692	AGAP008753	1:1	825194
AAEL008696	AAT07306.1	1:1	
AAEL008687	AGAP009781	1:1	
AAEL008711	AGAP004007	1:1	336638
AAEL008709	AGAP004008	1:1	337577
AAEL008704	AGAP004010	1:1	337710
AAEL008700	AGAP004011	1:1	842892
AAEL008715	AGAP004012	1:1	848775
AAEL008699	AGAP004013	1:1	516055
AAEL008708	AGAP004014	1:1	516064
AAEL008698	AGAP003639	n:m	
AAEL008698	AGAP004015	n:m	516077
AAEL008702	AGAP003639	n:m	516075
AAEL008702	AGAP004015	n:m	
AAEL008714	AGAP003633	1:1	758926
AAEL008703	AGAP003635	1:1	547864
AAEL008701	AGAP003636	1:1	744553
AAEL008706	AGAP003632	1:1	547174
AAEL008720	AGAP010512	n:1	544506
AAEL008717	AGAP010254	1:1	280415
AAEL008721	AGAP002705	1:1	500847
AAEL008719	AGAP002706	1:1	803787
AAEL008718	AGAP002704	1:1	
AAEL008722	AGAP002702	1:1	610573
AAEL001094	AGAP000941	n:1	782687
AAEL001080	AGAP010498	1:1	825046
AAEL001069	AGAP000532	1:1	846677
AAEL001079	AGAP000509	n:1	714257
AAEL001060	AGAP002672	1:1	759476
AAEL001088	AGAP002671	1:1	749438
AAEL001085	AGAP002940	1:1	
AAEL001065	AGAP003667	1:m	709598
AAEL001065	AGAP012642	1:m	
AAEL001097	AGAP002941	n:1	730539
AAEL001056	AGAP002942	1:1	660013
AAEL001059	AAP13483.1	1:m	
AAEL001059	AAM53606.1	1:m	
AAEL001059	AAM53607.1	1:m	
AAEL001059	AAM53610.1	1:m	840279
AAEL001059	AAM61894.1	1:m	
AAEL001059	AGAP012702	1:m	
AAEL001062	AGAP004170	1:1	754836
AAEL001095	AGAP004167	1:1	337768
AAEL001074	AGAP004166	1:1	782635
AAEL001071	AGAP004165	1:1	840284
AAEL001061	AAC79993.1	n:1	839930
AAEL001090	AAC79997.1	1:1	839892
AAEL001068	AGAP004162	1:1	686303
AAEL001098	AGAP009217	1:1	
AAEL001082	AGAP004161	1:1	338774
AAEL001091	AGAP004159	1:1	813610
AAEL001092	AGAP004158	1:1	
AAEL001087	AGAP004156	1:m	563293
AAEL001087	AGAP004157	1:m	
AAEL001087	AGAP012761	1:m	
AAEL001064	AGAP001825	n:1	
AAEL001057	AGAP001825	n:1	762746
AAEL008726	AGAP010717	1:1	337810
AAEL008723	AGAP010716	1:1	828197
AAEL008730	AGAP010715	1:1	716356
AAEL008740	AGAP010714	1:1	776162
AAEL008741	AGAP010711	1:1	865414
AAEL008733	AGAP010712	1:1	834723
AAEL008744	AGAP010713	1:1	766808
AAEL008732	AGAP010710	1:1	554165
AAEL008743	AGAP012044	1:1	836423
AAEL008738	AGAP012045	1:1	267562
AAEL008728	AGAP010702	1:1	547532
AAEL008724	AGAP010703	1:1	835901
AAEL008746	AGAP012043	1:1	282188
AAEL008736	AGAP012041	1:1	
AAEL008729	AGAP012040	n:1	
AAEL008725	AGAP011488	1:1	709285
AAEL008734	AGAP011464	1:1	516400
AAEL008739	AGAP011463	1:1	843148
AAEL008745	AGAP011462	1:1	531244
AAEL008750	AGAP002328	1:1	332997
AAEL008751	AGAP002327	1:1	827206
AAEL008758	AGAP012460	1:1	853783
AAEL008753	AGAP012495	1:1	277259
AAEL008765	AGAP012462	1:1	
AAEL008754	AGAP012487	1:1	612346
AAEL008764	AGAP012466	1:1	553610
AAEL008759	AGAP012465	1:1	337618
AAEL008752	AGAP012498	1:1	269824
AAEL008761	AGAP010319	1:1	783184
AAEL008755	AGAP010321	1:1	858073
AAEL008763	AGAP010322	1:1	547015
AAEL008784	AGAP004900	n:m	558631
AAEL008784	AGAP006539	n:m	
AAEL008782	AGAP004900	n:m	
AAEL008782	AGAP006539	n:m	
AAEL008767	AGAP004900	n:m	
AAEL008767	AGAP006539	n:m	
AAEL008774	AGAP004994	1:1	564718
AAEL008773	AGAP004993	1:1	850180
AAEL008770	AGAP004991	1:1	860126
AAEL008776	AGAP004992	1:1	839883
AAEL008768	AAL68796.1	1:1	764160
AAEL008777	AGAP004989	1:1	554062
AAEL008775	AGAP004988	n:1	288311
AAEL008778	AGAP005064	n:1	
AAEL008769	AGAP005065	n:1	571117
AAEL008781	AGAP005065	n:1	
AAEL008780	AGAP005065	n:1	
AAEL008793	AGAP003820	1:1	807554
AAEL008811	AGAP003819	1:1	858320
AAEL008795	AGAP003818	1:1	550120
AAEL008822	AGAP002139	1:1	798722
AAEL008814	AGAP004430	1:1	734755
AAEL008786	AGAP004470	1:1	637940
AAEL008803	AGAP004471	1:1	764708
AAEL008809	AGAP004474	1:1	
AAEL008816	AGAP004476	1:1	
AAEL008807	AGAP004477	1:1	693072
AAEL008790	AGAP004478	1:1	758950
AAEL008806	AGAP004479	1:1	703832
AAEL008794	AGAP004480	1:1	755576
AAEL008800	AGAP004481	1:1	857522
AAB71659.1	AGAP003153	1:1	735951
AAEL008819	AGAP003152	1:1	571245
AAEL008804	AGAP003151	1:1	569778
AAEL008802	AGAP012571	1:1	339616
AAEL008797	AGAP003149	1:1	
AAEL008799	AGAP003150	1:1	338691
AAEL008788	AGAP001347	1:1	696553
AAEL008817	AGAP001345	1:1	
AAEL008801	AGAP001346	1:1	739939
AAEL008826	AGAP002039	1:1	805755
AAEL008827	AGAP002040	1:1	548996
AAEL008831	AGAP003287	1:1	
AAEL008828	ABF66619.1	1:1	638913
AAEL008829	AGAP003290	1:1	753975
AAEL008852	AGAP008635	1:1	864640
AAEL008854	AGAP007954	1:1	856006
AAEL008838	AGAP007956	1:1	592587
AAEL008846	AAV28178.1	n:1	819199
AAEL008853	AGAP007957	1:1	647595
AAEL008841	AGAP007958	1:1	852232
AAEL008836	AGAP007960	1:1	836058
AAEL008845	AGAP007961	1:1	266043
AAEL008844	AGAP007963	1:1	716475
AAEL008848	AGAP007966	1:1	814774
AAEL008849	AGAP007967	1:1	829594
AAEL008850	AGAP008991	1:1	
AAEL008840	AGAP009637	1:1	830104
AAEL008837	AGAP008680	1:1	548207
AAEL008847	AGAP008678	1:1	
AAEL008842	AGAP008677	1:1	339764
AAEL008858	AGAP011696	1:1	334748
AAEL008862	AGAP004747	1:1	839508
AAEL008875	AGAP010434	1:1	786171
AAEL008864	AGAP010432	1:1	730403
AAEL008871	AGAP010672	1:1	
AAEL008865	AGAP012804	1:1	638192
AAEL008870	AGAP011704	1:1	337907
AAEL008855	AGAP010435	1:1	529439
AAEL008872	AGAP006012	n:m	
AAEL008872	AGAP006013	n:m	
AAEL008869	AGAP006012	n:m	
AAEL008869	AGAP006013	n:m	
AAEL008873	AGAP006012	n:m	
AAEL008873	AGAP006013	n:m	
AAEL008866	AGAP006012	n:m	
AAEL008866	AGAP006013	n:m	
AAEL008859	AGAP010436	1:1	
AAEL008887	AGAP006471	n:1	
AAEL008880	AGAP006471	n:1	762597
AAEL008888	AGAP006468	n:1	736898
AAEL008884	AGAP006466	1:1	338591
AAEL008885	AGAP006464	1:1	581101
AAEL008882	AGAP005952	1:1	566021
AAEL008878	AGAP005949	n:1	
AAEL008878	AGAP005949	n:1	
AAEL008879	AGAP005948	n:1	646738
AAEL008899	AGAP004778	1:1	741782
AAEL008893	AGAP004775	1:1	719974
AAEL008901	AGAP004777	1:1	776906
AAEL008905	AGAP004774	1:1	
AAEL008898	AGAP012696	1:1	787075
AAEL008902	AGAP011271	1:1	523663
AAEL008903	AGAP011256	1:1	
AAEL008894	AGAP011255	1:1	
AAEL008907	AGAP010238	n:1	308595
AAEL008913	AGAP009896	n:1	
AAEL008909	AGAP000938	1:1	
AAEL008912	AGAP005815	1:1	812949
AAEL008906	AGAP005814	1:1	747527
AAEL008915	AGAP007585	1:1	
AAEL008921	AGAP000927	1:1	547495
AAEL008929	AGAP000929	1:1	549843
AAEL008928	AGAP001283	n:1	
AAEL008928	AGAP001283	n:1	824406
AAEL008932	AGAP001280	1:1	824407
AAEL008924	AGAP001278	1:1	844006
AAEL008925	AGAP006824	n:1	697911
AAEL008936	AGAP011604	1:1	338513
AAEL008941	AGAP000324	1:1	853296
AAEL008945	AGAP000326	1:1	842895
AAEL008963	AGAP000327	1:1	791687
AAEL008956	AGAP000328	1:1	
AAEL008954	AGAP001091	1:1	516207
AAEL008953	AGAP001093	1:1	755624
AAEL008960	AGAP000634	1:1	744147
AAEL008947	AGAP002778	1:1	530486
AAEL008943	AGAP001568	1:1	550537
AAEL008944	AGAP003868	1:1	264201
AAEL008950	AGAP000926	1:1	857452
AAEL008940	AGAP000019	1:1	552034
AAEL008942	AGAP011383	1:1	495977
AAEL009006	AGAP006835	1:1	666381
AAEL009007	AGAP006597	n:m	
AAEL009007	AGAP006840	n:m	
AAEL009007	AGAP006841	n:m	
AAEL009007	AGAP006842	n:m	
AAEL009007	AGAP006843	n:m	
AAEL009007	AGAP006844	n:m	
AAEL009007	AGAP006845	n:m	
AAEL009007	AGAP006846	n:m	
AAEL009007	AGAP006847	n:m	
AAEL009007	AGAP006848	n:m	
AAEL009007	AGAP006853	n:m	
AAEL009007	AGAP006854	n:m	
AAEL009007	AGAP006855	n:m	
AAEL009007	AGAP006861	n:m	
AAEL009007	AGAP006862	n:m	
AAEL009007	AGAP006864	n:m	
AAEL008984	AGAP006597	n:m	
AAEL008984	AGAP006840	n:m	
AAEL008984	AGAP006841	n:m	
AAEL008984	AGAP006842	n:m	
AAEL008984	AGAP006843	n:m	
AAEL008984	AGAP006844	n:m	
AAEL008984	AGAP006845	n:m	
AAEL008984	AGAP006846	n:m	
AAEL008984	AGAP006847	n:m	
AAEL008984	AGAP006848	n:m	
AAEL008984	AGAP006853	n:m	
AAEL008984	AGAP006854	n:m	
AAEL008984	AGAP006855	n:m	
AAEL008984	AGAP006861	n:m	
AAEL008984	AGAP006862	n:m	
AAEL008984	AGAP006864	n:m	
AAEL009000	AGAP006597	n:m	
AAEL009000	AGAP006840	n:m	
AAEL009000	AGAP006841	n:m	
AAEL009000	AGAP006842	n:m	
AAEL009000	AGAP006843	n:m	
AAEL009000	AGAP006844	n:m	
AAEL009000	AGAP006845	n:m	
AAEL009000	AGAP006846	n:m	
AAEL009000	AGAP006847	n:m	
AAEL009000	AGAP006848	n:m	
AAEL009000	AGAP006853	n:m	
AAEL009000	AGAP006854	n:m	
AAEL009000	AGAP006855	n:m	
AAEL009000	AGAP006861	n:m	
AAEL009000	AGAP006862	n:m	
AAEL009000	AGAP006864	n:m	
AAEL008975	AGAP006597	n:m	
AAEL008975	AGAP006840	n:m	
AAEL008975	AGAP006841	n:m	
AAEL008975	AGAP006842	n:m	287811
AAEL008975	AGAP006843	n:m	
AAEL008975	AGAP006844	n:m	
AAEL008975	AGAP006845	n:m	
AAEL008975	AGAP006846	n:m	
AAEL008975	AGAP006847	n:m	
AAEL008975	AGAP006848	n:m	
AAEL008975	AGAP006853	n:m	
AAEL008975	AGAP006854	n:m	
AAEL008975	AGAP006855	n:m	
AAEL008975	AGAP006861	n:m	
AAEL008975	AGAP006862	n:m	
AAEL008975	AGAP006864	n:m	
AAEL009010	AGAP006597	n:m	
AAEL009010	AGAP006840	n:m	
AAEL009010	AGAP006841	n:m	
AAEL009010	AGAP006842	n:m	
AAEL009010	AGAP006843	n:m	
AAEL009010	AGAP006844	n:m	
AAEL009010	AGAP006845	n:m	
AAEL009010	AGAP006846	n:m	
AAEL009010	AGAP006847	n:m	
AAEL009010	AGAP006848	n:m	580103
AAEL009010	AGAP006853	n:m	
AAEL009010	AGAP006854	n:m	
AAEL009010	AGAP006855	n:m	
AAEL009010	AGAP006861	n:m	
AAEL009010	AGAP006862	n:m	
AAEL009010	AGAP006864	n:m	
AAEL008977	AGAP006597	n:m	
AAEL008977	AGAP006840	n:m	
