aedes_ID	anopheles_ID	orthotype	OMAgroup
AAEL006166	AGAP004101	1:m	831046
AAEL006166	AGAP012836	1:m	
AAA29350.1	AGAP003277	1:1	698879
AAEL006165	AGAP001062	1:1	
AAEL006159	AAC39127.1	n:1	
AAEL006188	AGAP003263	1:1	534336
AAEL006186	AGAP003243	1:1	261745
AAEL006175	AGAP011673	1:1	850325
AAEL006172	AGAP003242	1:1	553885
AAEL006177	AGAP003264	1:1	811563
AAEL006171	AGAP003238	1:1	843913
AAEL006185	AGAP001694	1:1	696541
AAEL006178	AGAP001695	1:1	
AAEL006174	AGAP001697	1:1	860124
AAEL006181	AGAP001699	1:1	694747
AAEL006187	AGAP001700	1:1	857475
AAEL006176	AAL84185.1	1:1	746116
AAEL006180	AGAP001557	1:1	
AAEL006192	AGAP004067	n:1	
AAEL006202	AGAP004067	n:1	
AAEL006195	AGAP004067	n:1	
AAEL006199	AGAP004066	1:1	
AAEL006196	AGAP004065	1:1	767741
AAEL006208	AGAP004062	1:1	772146
AAEL006189	AGAP004489	1:1	815717
AAEL006193	AGAP004063	1:1	789906
AAEL006209	AGAP004491	1:1	271352
AAEL006201	AGAP003751	1:1	
AAEL006210	AGAP003753	1:1	585751
AAEL006205	AGAP003755	1:1	699997
AAEL006206	AGAP003756	1:1	693716
AAEL006190	AGAP009056	1:1	
AAEL006222	AGAP007474	1:1	549039
AAEL006224	AGAP007475	1:1	508556
AAEL006221	AGAP007476	1:1	843412
AAEL006211	AGAP006055	1:1	843041
AAEL006227	AGAP006051	1:1	547981
AAEL006216	AGAP006052	1:1	750869
AAEL006214	AGAP006054	1:1	
AAEL006219	AGAP006058	1:1	782532
AAEL006239	AGAP001563	1:1	646344
AAEL006232	AGAP001562	1:1	323105
AAEL006230	AGAP004269	1:1	614053
AAEL006236	AGAP004268	1:1	547039
AAEL006234	AGAP002017	1:1	749420
AAEL006240	AGAP002016	1:1	491180
AAEL006242	AGAP004440	1:1	551714
AAEL006231	AGAP003540	1:1	549478
AAEL006244	AGAP008660	n:1	831232
AAEL006238	AGAP008659	n:1	339262
AAEL006235	AGAP008658	1:1	335784
AAEL006256	AGAP000523	n:1	797698
AAEL006261	AGAP001126	1:1	558988
AAEL006248	AGAP001127	1:1	273618
AAEL006258	AGAP008378	1:1	689809
AAEL006251	AGAP001364	1:1	860549
AAEL006254	AGAP001367	1:1	822662
AAEL006247	AGAP001368	1:1	736856
AAEL006259	AGAP001163	n:m	
AAEL006259	AGAP001178	n:m	657698
AAEL006255	AGAP000096	1:1	
AAEL006245	AGAP001369	1:1	774018
AAEL006283	AAR09143.1	1:1	747616
AAEL006263	AGAP005230	1:1	338020
AAEL006282	AGAP005233	1:1	641227
AAEL006271	AAS17758.1	1:1	
AAEL006269	AGAP005235	1:1	791501
AAEL006270	AGAP005236	1:1	781467
AAEL006264	AGAP005237	1:1	548464
AAEL006281	AGAP005238	1:1	
AAEL006262	AGAP005239	1:1	497992
AAEL006275	AGAP005240	1:1	774062
AAEL006267	AGAP005255	1:1	522117
AAEL006280	AGAP005256	1:1	537219
AAEL006265	AGAP005254	1:1	774936
AAEL006287	AGAP011204	n:1	
AAEL006293	AGAP000079	1:1	269907
AAEL006290	AGAP000078	1:1	835530
AAEL006294	AGAP001092	1:1	332546
AAEL006299	AGAP008111	1:1	
AAEL006297	AGAP008109	n:1	564265
AAEL006286	AGAP008110	1:1	552922
AAEL006300	AGAP008107	1:1	261151
AAEL006289	AGAP008100	1:1	337766
AAEL000700	AGAP007905	1:1	
AAEL000714	AGAP007903	1:1	507676
AAEL000708	AGAP007912	1:1	811006
AAEL000679	AGAP007913	1:1	754151
AAEL000685	AGAP007914	1:1	730729
AAEL000683	AGAP007878	1:1	334773
AAEL000688	AGAP007800	n:m	702901
AAEL000688	AGAP008976	n:m	
AAEL000719	AGAP007877	1:1	651123
AAEL000699	AGAP007875	1:1	752193
AAEL000707	AGAP007874	1:1	549106
AAEL000693	AGAP007873	1:1	530293
AAEL000696	AGAP001496	1:1	
AAEL000711	AGAP007943	1:1	339582
AAEL000716	AGAP004371	1:1	724610
AAEL000704	AGAP007942	1:1	
AAEL000706	AGAP007941	1:1	805412
AAEL000703	AGAP007939	1:1	795428
AAEL000709	AGAP007938	1:1	700063
AAEL000692	AGAP010835	1:1	842415
AAEL000701	AGAP007937	1:1	852907
AAEL000690	AGAP007879	n:1	
AAEL000705	AGAP007881	n:1	
AAEL000689	AGAP007881	n:1	509710
AAEL000715	AGAP009482	1:m	563283
AAEL000715	AGAP009483	1:m	
AAEL000695	AGAP009477	1:1	547564
AAEL000718	AGAP009473	1:1	652488
AAEL006307	AGAP005175	1:1	805484
AAEL006311	AGAP005174	1:1	547453
AAEL006308	AGAP005173	1:1	
