ID	ZT0	ZT2	ZT4	ZT6	ZT8	ZT10	ZT12	ZT14	ZT16	ZT18	ZT20	ZT22	ZT24	ZT26	ZT28	ZT30	ZT32	ZT34	ZT36	ZT38	ZT40	ZT42	ZT44	ZT46	ZT48	ZT50	ZT52	ZT54	ZT56	ZT58	ZT60	ZT62	ZT64	ZT66	ZT68	ZT70
ENSRNOG00000001142	9.903904	10.18591	10.05057	10.1147	9.923413	10.01925	9.888964	9.698476	9.759163	9.860939	9.808269	9.897995	9.9093275	10.15443	10.04199	10.12701	10.06803	9.950787	9.783534	9.793028	9.723747	9.857857	9.908859	9.912662	9.881546	10.08509	10.08354	10.07816	10.1603	9.881252	9.857529	9.726558	9.771272	9.914499	9.855985	9.94107
ENSRNOG00000002175	9.7795765	9.877759	9.840918	9.732762	9.764635	9.344241	9.1128235	9.027187	9.040322	9.439305	9.630866	9.624048	9.886146	9.592232	9.79376	9.649309	9.64328	9.461355	9.118953	9.054779	9.148245	9.430912	9.584175	9.721457	9.796569	9.894764	9.890287	9.520102	9.639462	9.495123	9.231375	9.105091	9.320886	9.295003	9.547898	9.699263
ENSRNOG00000002175	4.76555759343046	4.5449717036905	4.73265810895037	4.84017171891534	4.56667015622052	4.6184963209342	4.6625928469338	4.95244425041283	4.79588958516634	4.51124857927282	4.54034325255695	4.97168492972609	4.812982513029	5.0605935355471	4.70098270690873	4.83024059179005	4.55807731580449	4.76857776193934	4.77274923352594	4.67590105029583	4.85097144916424	4.67200675265754	4.84810612800278	4.9395796103373	4.80181619539822	4.61857567430987	4.75918480902173	4.57702340337427	4.60823623336725	4.55892550490556	4.45356205397307	4.58780447038608	4.59549172617632	4.76658736272726	4.74725486212891	4.80792249863132
ENSRNOG00000002175	8.2444355	8.334066	8.338891	8.288782	8.011781	7.789198	7.5822565	7.747688	7.757958	8.091393	7.998974	8.201767	8.2786215	8.242584	8.249451	8.375828	8.038753	7.741805	7.645009	7.562317	7.692852	8.087169	8.094056	8.161821	8.3768305	8.177705	8.338745	8.269946	8.08189	7.858774	7.7473255	7.642236	7.881813	7.912638	8.114606	8.295035
ENSRNOG00000002175	6.923138	6.949527	6.786647	6.581771	6.758347	6.497666	6.1433665	6.189063	6.130749	6.364447	6.5373	6.674978	6.7549975	6.852957	6.822603	6.553228	6.306146	6.666311	6.191141	6.022899	6.424656	6.123158	6.721732	6.544556	6.5143765	6.762005	6.606028	6.216033	6.331431	6.521346	6.2329305	6.236171	6.11988	6.479612	6.760706	6.483702
ENSRNOG00000004395	10.08701	10.09884	10.0357	10.04965	10.06127	10.03495	9.9071615	9.881806	9.914021	9.942548	10.01591	9.927083	10.13335	10.05515	10.09242	10.09057	9.981481	10.02527	9.9495395	9.950258	9.995808	9.998271	10.05535	9.983137	9.9982305	10.09466	10.07162	9.845342	10.00045	10.05787	10.02299	9.902187	9.973454	9.927398	9.986315	9.998436
ENSRNOG00000005310	10.424995	10.64389	10.6635	10.56079	10.52429	10.62607	10.565725	10.36404	10.42501	10.47802	10.49431	10.41235	10.52117	10.4988	10.62557	10.65798	10.64656	10.53795	10.51579	10.37272	10.40169	10.37124	10.46347	10.36754	10.463295	10.54873	10.64048	10.52856	10.58877	10.60464	10.517825	10.40337	10.48511	10.38711	10.37315	10.42132
ENSRNOG00000005828	12.562855	12.6358	12.42841	12.47695	12.44229	12.38223	12.332865	12.50336	12.4881	12.50164	12.55318	12.53744	12.63572	12.61918	12.46855	12.35495	12.24925	12.3681	12.435275	12.32697	12.5512	12.44226	12.48933	12.39529	12.35776	12.32513	12.41536	12.15389	12.26194	12.3715	12.39646	12.51709	12.4235	12.53267	12.55265	12.41528
ENSRNOG00000006622	9.61456	9.157112	8.557369	8.322632	7.943522	8.14242	8.7406435	9.282015	9.421648	9.296758	9.433568	9.511349	9.6869615	9.128081	8.606227	8.137505	7.927977	7.957859	8.621108	9.318459	9.454689	9.264304	9.41491	9.506926	9.5717605	9.052714	8.611892	8.130176	7.755261	8.249644	8.735309	9.307243	9.478577	9.305904	9.368984	9.494435
ENSRNOG00000007152	8.23802456517061	8.05116978081818	7.80204798503931	7.44993278300125	8.33189633999717	8.78203266437587	9.07820018047681	8.7293865454713	8.42412277463558	8.18298260502467	8.30323348855756	8.12550202499273	8.08447701430481	7.64282473738845	7.88250371264414	7.80331753565458	8.10634038641271	8.66952851204065	8.99256181413332	8.2457901402907	8.57647858329704	8.01864296815374	8.05429837540953	8.22483767652213	7.74591334605527	8.03881381659094	7.68573406758495	7.76614249034852	7.64128753887886	8.9218690640971	9.16707373046471	8.45643821793066	8.63551227837378	8.10384924043257	8.22328405657685	7.93127988095248
