ID	CT22	CT28	CT34	CT40	CT46	CT52	CT58	CT64
ENSMUSG00000050901	59.3	47.2	48.7	50.1	57.6	46.8	49.8	54.8
ENSMUSG00000050965	176.2	165.8	149.4	179.1	149.4	172.4	162.6	193.3
ENSMUSG00000051177	254.4	235.4	209.7	277.4	250.9	216	231.3	268.8
ENSMUSG00000051331	369.3	440.2	378.1	401.8	397.4	403.4	400.5	412.5
ENSMUSG00000052889	107	110.8	97.3	107.6	108	87.8	103.6	115.5
ENSMUSG00000052920	228.5	254.4	210.6	244.8	273.3	256.4	231	259
ENSMUSG00000053819	793.1	790.4	596.3	684	670.5	691	618.5	679.1
ENSMUSG00000054764	22.9	21	24.4	21.7	25.1	21.9	26.5	23.4
ENSMUSG00000055866	318.9	174.2	649.3	571	324.6	269.2	670.1	463.8
ENSMUSG00000057378	47.8	47.3	53.1	48.4	54.6	44.1	52.4	46.6
ENSMUSG00000057614	711.6	756	696.4	677	711.7	751.8	791.7	707.8
ENSMUSG00000057897	177.3	222.9	176.3	169.5	184.2	194.6	176.5	179.4
ENSMUSG00000059003	29.1	30.7	37.4	28.9	36.6	28.1	31.9	27.3
ENSMUSG00000063065	1042.1	1056	975.5	1041.9	951.5	1051	1023.5	1087
ENSMUSG00000063130	32.5	32.6	42.1	31.9	39.3	38.2	35.9	31.6
ENSMUSG00000063358	1002	946.1	914.5	1110.9	875.2	1002.8	948.6	1060.1
ENSMUSG00000063594	63.9	64	52.7	73.3	69.8	65.8	62.5	71.5
ENSMUSG00000068523	705	725.1	612.2	771.6	571.3	665.1	695.1	749.4
ENSMUSG00000068523	198.6	171.2	180.4	169.3	146.7	183.8	195.3	193.8
ENSMUSG00000099269	21.6	21.2	24.7	24.4	22.1	22.4	20.6	20.6
