ID	CT18	CT20	CT22	CT24	CT26	CT28	CT30	CT32	CT34	CT36	CT38	CT40	CT42	CT44	CT46	CT48	CT50	CT52	CT54	CT56	CT58	CT60	CT62	CT64
ENSMUSG00000024617	48.3	48.6	49.4	45.4	50.5	49.4	50.8	53.7	62.5	54.3	51.9	50.3	54.2	52.9	49.2	52.4	47.8	51.6	52.6	54	46.9	41.1	50.1	55.6
ENSMUSG00000024639	571.6	569.6	537.6	627.9	520.8	605	577	566.6	463.8	547.4	535.6	619.3	586.2	616.2	517.7	590.1	557.6	609.7	579	538.1	557.8	619.1	613.6	624.1
ENSMUSG00000024960	561.2	633.9	543.2	580.8	512.9	623.1	649.9	577.8	547.6	568.7	574.1	559.4	537.8	538.8	537.8	683.2	568	599.8	578.2	592.5	562.1	559.4	561.1	547.4
ENSMUSG00000025739	57.9	53	54.4	50.7	59.3	52.6	49.7	55.6	63.7	55.6	57.1	55.4	55.6	51	55.6	57.3	57.5	55.4	55.7	58.4	60.5	50	53.9	54.3
ENSMUSG00000025892	75.3	63.5	65.4	69.7	65.5	59.6	63.4	59	69.1	74.5	79.2	73.7	74.5	77.2	76.3	62.1	81.5	82.6	62.6	66.2	69.3	91	98.8	85.5
ENSMUSG00000025958	441.6	421.1	410.9	419.9	438.2	424.3	434.4	425.9	344.4	402.3	406.5	420.4	435.9	462.8	385.9	423.5	417.2	399.7	400.4	402.7	401	461.1	431.3	434.6
ENSMUSG00000026567	29	25.1	26.2	26.2	28.2	26.9	26.7	24.9	26.2	27.9	27.2	24.6	28.9	27.2	25.7	29.5	25.7	26.1	25.8	24.8	27.2	23.7	27.2	26.7
ENSMUSG00000026824	228.3	300	460.6	196.1	207.5	380.3	391.4	296.1	227.3	293.8	130.2	245.3	377.1	376.1	101.4	235.1	163	204.6	306.6	159.8	142.2	79.7	74.7	140.8
ENSMUSG00000026959	66.6	59.5	64.3	64.6	61.2	64.4	61.3	72.3	69.7	65.5	66.1	64.9	71.4	63	77.7	66.8	64.4	56.8	66.9	68.7	69.7	56.2	62.1	61.9
ENSMUSG00000027523	2101.2	2291.7	2210.2	2187.8	2308.7	2186.3	2233.3	2305.2	2068.7	2192.4	2119	2342.6	2178.2	2067.7	2161.8	2226.2	2193.2	1891.7	2255.4	2116.7	2147.9	1996.4	2062.1	2096.4
ENSMUSG00000027669	558.4	571.7	636.9	648	512.3	691.6	640.7	564.5	523	648.4	640.8	636.9	568.6	743.2	660.8	638.3	744.7	633.3	575.4	639.7	676.8	801.9	827.7	709.9
ENSMUSG00000028957	492.9	308.6	180.3	188.4	216.5	292.1	406.7	584.9	762.6	826.9	812	635.7	422.4	255.9	185.7	215.2	169.5	420.5	564.8	654.7	801.6	827.5	695	524.7
ENSMUSG00000029064	4248.7	4083.2	4322.9	4464.5	4443.5	4321.4	4638	4398.8	4200.1	4259.9	4274.7	4421.1	4436.8	4069.9	4010.8	4321.4	4405.2	4301.1	4545.4	4489.7	4440.5	4501.5	4356.9	4423.3
ENSMUSG00000029334	30.8	32.5	30	32.1	29.3	27.9	31.7	30.7	30.6	33.8	34.1	34.8	30.7	29.1	37	30.4	33	30	31.6	32.3	35.9	30.2	33.3	27.8
ENSMUSG00000029361	61.5	68.3	73.7	67.8	71.3	56.3	63.9	62.7	66.8	79.5	68.8	67.4	65.8	107.2	72.8	57.1	68	49.3	63.6	64	68	57.2	60.3	70.3
ENSMUSG00000029663	28.8	29.6	29.4	31.2	30.5	28.1	27.5	29.4	40.7	27.4	32.5	26.3	33.6	30.4	29.6	30.2	34.9	33.9	30.2	33	35.6	30.3	33.4	29.5
ENSMUSG00000029713	1128.5	1218.8	1194.4	1228.2	1104.4	1421.2	1428.4	1402.9	1424.8	1352.8	1325	1123.4	1233.9	1121.1	1140.1	1365.1	1305	1275.7	1440.1	1426.2	1390.4	1195.6	1144	1157.8
ENSMUSG00000029778	157.1	154	163.8	181.1	181.5	171.9	156.3	181.5	155.1	141.6	156.2	155.9	155.1	119.2	151.4	148.5	158.9	164.8	170.9	154.8	166.1	135.1	132.7	154.3
ENSMUSG00000030102	1010.3	1032.4	892.1	918.6	769.3	958.5	954.7	916.9	867.1	912.9	940.6	1008.4	913.9	932	861.6	962.1	1020.9	892.2	891.6	974.2	881.6	969.1	995	912
ENSMUSG00000030209	35.8	39.4	36.2	41	38.8	37.7	42	36.5	44.6	40.9	41.7	40.5	41.2	39.8	42.8	39.2	38.9	34.9	39.6	43.4	40.7	39.3	41	38.4
ENSMUSG00000030592	58	52.8	55	50	100.9	55.3	88.9	111.3	227.4	233.7	76.1	54.3	54.2	145.8	62.2	52	56.7	172	86.6	57.8	111.4	83	119.4	381.4
ENSMUSG00000031659	444	374.2	361.2	367.3	270.6	395.2	375.2	401	395.5	493.1	496.2	454.7	420.9	403.4	428	406.3	474.3	363.6	389.4	529.2	470.3	560.8	524.6	461
ENSMUSG00000031748	585.4	599.4	757.9	663.1	669.7	644.4	698.4	598	601.9	628.7	543.7	707.8	628	647.1	520.9	559.7	583	552.3	657	528	546.4	543.3	559.4	562
ENSMUSG00000032034	92.4	103.5	132.1	79.8	78.2	130.1	153	107.2	94.2	96	68.8	109.6	139	132.2	74.5	82.1	86.1	65.1	113.8	78.9	67.4	51.7	62	70.7
ENSMUSG00000032192	288.5	332	292.7	298	341.2	343.8	363.3	365.2	314.4	319.8	306.2	305.9	328.6	295.6	278.8	345.8	295.9	295.9	284.6	306.5	302.3	314.4	302.5	329.5
ENSMUSG00000032246	78.8	67.8	79.6	79.5	64.3	75.5	70.2	77	73.8	78.2	77.9	75.8	81.4	80.7	80.8	70.7	79.9	71.6	75.3	79	73.6	104.9	74.1	75.6
ENSMUSG00000032562	1849	1964.3	2047.1	2006	1595.2	2192.1	2119.5	2115.7	1824.4	2063.1	2075.7	1959.3	2027.9	1999.7	2152.5	1975.9	2242.7	2100.5	2249.7	2279.2	2176.6	2354.5	2260.1	2213.6
ENSMUSG00000032766	96.1	117.3	91.6	117	87.3	121.4	111.6	122.9	93.9	99.7	102.6	109.7	127.5	94.1	107.9	112.7	105.6	139.7	114.5	126.5	100.1	107.7	96.9	101.7
ENSMUSG00000033765	52	46.1	47.7	45.8	47.5	45.5	43.6	43.7	51.1	46.2	59.7	47.1	47.8	73.7	56.2	51.2	51.3	42.4	41.3	48	57.7	42	47.9	47.7
ENSMUSG00000033981	25.1	25.8	26.5	34.8	25.8	26.6	29.8	28.3	32.9	25.5	29	26.4	27.3	29	28	27.6	29	23.7	27	27.3	26.4	28.6	30.3	27.8
ENSMUSG00000036402	2385.7	2320.5	2289.9	2552.3	2791	2419	2304.1	2269.7	2073.4	2449.2	2413.1	2569	2395.5	2562.6	2632.6	2392.1	2577	2355.6	2401.8	2532.6	2580.2	2599.6	2642.9	2713.4
ENSMUSG00000036438	704.5	738.3	754.1	726.1	615.9	860.8	787.9	749.8	732	739.9	780.7	769.5	752.1	801.1	782.1	688.2	807.4	802.7	737.3	740.8	743.2	781	868	763.5
ENSMUSG00000036438	1027.4	1156	1122	1115.6	722.1	1461.7	1202.3	1141.7	1173.3	1179.8	1176.2	1194.5	1174.7	1100.2	1115.6	1065.3	1212.5	1237.6	1177.1	1196.4	1086.9	1213.9	1345.1	1194.1
ENSMUSG00000038026	39.9	35.3	36	32.7	37.6	34	33.3	34.3	38.3	39.1	44.6	34.9	38.5	34.5	44.2	40.5	42.4	30.9	35.8	38.6	40.4	36.1	36.7	36.8
ENSMUSG00000038473	196.8	186.8	203.2	176.1	185.5	195	188.2	162.5	172.4	187.1	193.7	190.9	208.2	188.6	213.9	211.9	225.8	185	186	202.1	194.3	196.2	197.9	183.9
ENSMUSG00000038811	151.2	190.9	156.7	188.9	195.6	207.6	182.1	178.6	161.9	167.3	150.9	176.9	159.8	148.3	129.2	175.8	145.3	201.6	222.9	160.8	151.4	158.8	137.5	144.1
ENSMUSG00000039943	1586.3	1426.4	1508.4	1428	1394	1597.4	1472.1	1369.7	1480.6	1880.5	1674.7	1836.1	1555.1	1914.2	1638.8	1446.1	1830.8	1460.8	1422	1755.4	1709.8	2027.8	2006.4	1780.3
ENSMUSG00000040061	72	65.9	70.8	66.2	52.6	68.1	66.5	59.3	63.9	61.9	60	63	62	61.8	66.9	58.2	55.5	52	67.9	72	52.3	64.3	50	53.6
ENSMUSG00000041624	296.1	294.7	265.8	317.2	320	279.6	293.8	298.1	250.9	288.8	254.2	289.3	328.8	275.6	273.8	255.4	259.2	286.1	256.6	249	238.1	308.2	272.4	287.7
ENSMUSG00000042644	187.6	191.2	169.7	186.1	164.7	192.6	202.2	217.4	197.4	202.1	181.2	176.1	174.7	167.9	182.2	181	173.6	203	229	214.9	203.2	215.4	179.2	184.2
ENSMUSG00000043301	27.3	28.9	26	26.2	26.5	26.7	24.5	24.6	31.8	26.5	31.1	26.5	26.5	26.1	31.1	27.9	28	24.3	26.5	27.6	27.2	26.2	26.9	26.5
ENSMUSG00000048240	211.8	200.2	198.2	210.9	239.2	197.8	199.3	213.4	209.9	206.5	214.9	217.4	228.8	179.4	225.8	213.6	187.7	189.2	216.2	216.4	238.9	190.8	200.9	233.3
ENSMUSG00000049892	347.4	420.4	423.8	391.9	420.3	547.2	405.3	469	489	432.9	538.4	504	474.8	291.2	402.6	430.9	208.9	406.6	679.9	495.5	522.5	390.8	465.4	562
ENSMUSG00000050901	50.9	46.3	59.3	53.9	58.2	47.2	49.4	47.8	48.7	54.7	52.1	50.1	50.7	48.1	57.6	50.8	57.7	46.8	51.8	58.6	49.8	49.2	46	54.8
ENSMUSG00000050965	167.8	201.2	176.2	179	147.5	165.8	182.3	155.8	149.4	176.3	157.2	179.1	166.1	191.8	149.4	165.7	176	172.4	179.2	154.4	162.6	197.7	186.5	193.3
ENSMUSG00000051177	264.6	286.8	254.4	195.7	226.1	235.4	226.6	216.9	209.7	255.1	251.5	277.4	270.9	289.4	250.9	232.7	246.5	216	196.7	226.3	231.3	285.5	330.3	268.8
