ID	CT18	CT20	CT22	CT24	CT26	CT28	CT30	CT32	CT34	CT36	CT38	CT40	CT42	CT44	CT46	CT48	CT50	CT52	CT54	CT56	CT58	CT60	CT62	CT64
ENSMUSG00000000001	249.7	301.8	303.8	264.8	301.6	306	321.5	318.4	283.7	255.8	248.7	266.1	301.1	343.5	330.1	319.9	303	302.9	312.6	351.1	260.5	272.3	299.1	302.5
ENSMUSG00000001175	6118.4	5692.5	6132.4	5894.9	5860.7	6152.9	5935.1	5727.7	5466.3	5607.1	5881	5978.4	6258.7	5914.1	6164.8	6253.5	5988.4	5672	5844.4	5699.2	5655.1	5462.9	5335.3	5542.2
ENSMUSG00000001986	118.7	134.8	141.8	116.5	115.8	136.6	123.6	122.6	124	123	112.2	130.5	105.9	119	119.5	106.6	102.5	100.5	104.6	126.3	99.6	104.8	117	106.6
ENSMUSG00000002771	65.7	54.2	52.6	61.3	61	63.1	55.1	63.5	66.7	62	68.5	57	59.9	57.8	54.9	57.5	57	53.3	55.5	59.5	55.8	62.3	62	58.5
ENSMUSG00000005034	1005.9	1162.8	1085.3	1012.6	1053.6	1202.9	1047.3	1099.9	1023.3	1070	1060.4	1076.8	1065.1	1070	1072.8	1144.7	1101.4	1091.2	1045.8	1175.6	972.3	968	1015.1	993.1
ENSMUSG00000005469	677.6	635.3	643.5	491.7	753.1	711.4	682.3	712.2	656.2	578.3	698.5	638.2	604.8	598.7	625.3	674.6	660.3	682.5	656.8	597	614.7	645.4	642.2	660.5
ENSMUSG00000005580	607.2	651.1	632.3	549.2	679.6	690.3	605.6	660.3	604	694.7	623	716.6	617.2	674.1	577.5	591.3	677.9	663.2	642.9	637.1	594	535.7	582.6	568.8
ENSMUSG00000015968	77.1	63.2	68.4	83.9	70.7	66.7	66.8	72.9	72.3	68.2	71.6	71.3	69.4	65.1	66.2	70.3	62.8	66.1	66.7	69.1	65.1	81.3	64.6	71.6
ENSMUSG00000019370	2990.2	2475.6	2736.2	2385.1	2769.8	2885.6	2752.9	2910.5	2811.2	2926.7	2913.5	2733.7	2690.1	2587.1	2648.8	2927.5	2646.5	2818.4	2542.2	2619.1	2531.3	2499.9	2583.4	2592.5
ENSMUSG00000020431	105.2	96	91.9	101.3	113	97.6	92.8	94.1	105.2	112.8	101.2	89.2	99.8	92.2	86.1	90	98.2	95.5	89.3	95.7	98.8	91.4	102	107.1
ENSMUSG00000020524	59	54.3	51.3	63.3	58.5	57.4	59	64.1	56.8	69.4	60	68.6	52.1	44.6	46.2	48.4	54.1	43	50.7	49.9	48.1	50.3	49.9	53.1
ENSMUSG00000020654	109	97.8	107.4	113.1	109.1	102.7	106.8	117.5	95	104.4	98.1	100.6	103.1	101.2	113	103.9	112.4	113.1	104.9	111.8	108.5	101.7	100	100.9
ENSMUSG00000020734	77.5	64.6	65.7	73.1	70.3	66.4	61.4	69.1	72.1	64.9	63.9	72.3	69.6	61.9	68.2	58.5	65.6	61.5	70.2	65.2	66.6	77.3	61	72.2
ENSMUSG00000020866	87.4	68.2	80.9	81.7	97.8	85.2	82.3	77.5	75.5	82.3	70.3	72.5	70.9	81.7	72.5	73.4	89.6	91.1	73.7	71.2	80.9	71.7	76	82.1
ENSMUSG00000020893	206.1	339.8	297.3	167.6	335.8	292.8	697.4	635.5	669	584.1	474.3	357.6	240.6	305.1	251.5	164	285.8	500.3	485.5	622.5	612.1	575.6	440.6	332.3
ENSMUSG00000021180	311.7	339.8	291.3	215.9	366.2	280.8	293.3	322	282.1	234.9	312.2	342.7	313.5	369.1	332.3	276.1	355.6	320.8	293.9	280.1	289	325.3	348.1	292.1
ENSMUSG00000021250	82.1	69.5	78.9	91.5	101	78	86.3	93.4	80.5	74.6	62.7	74.9	76.4	88.9	71.3	79.9	76.4	71.6	61.7	85.7	69.4	82.8	60.5	77.7
ENSMUSG00000021313	80.2	68.7	76	85.3	79.8	73.1	69.1	74.3	77.7	81	74.9	72.3	72.8	66.8	65.2	70	68	67	66.4	67.1	75.1	72	73.6	72.4
ENSMUSG00000021536	783.5	716.2	683.3	533.4	836.2	843.4	883.6	894.2	743.9	722.7	772.9	717	717	789.1	805.7	699.1	890.6	859.2	810.7	739	735.4	632.7	810	827.2
ENSMUSG00000021820	2007.2	1881	1915.8	1597.3	1940.3	1949.3	2059.6	1952.8	1900	1812.5	1903.1	1914	1901.7	1960.1	1960.6	1921	1927.5	1950	1964.1	1926.5	1799.2	1529.5	1755.7	1718.3
ENSMUSG00000021933	48.1	41.8	41.9	55	45.6	43.9	43.1	46.1	45.8	51	46.6	43	47.9	44.1	46.7	45.3	54.5	42.9	48.8	44	48.3	55.3	50.1	52.6
ENSMUSG00000022220	306.1	274.2	270.3	281.3	265.5	246.4	318.3	318	272.1	253	284.1	242.7	275.8	267.8	285.9	271	305.1	286.2	244.6	315.3	270.8	232.5	252.6	290.7
ENSMUSG00000022376	39.6	41.7	39.8	45.6	45.8	43.8	39.1	40.8	37.7	39.8	40.1	43.9	38.9	37.6	36.7	35.5	37.6	44.9	37.2	35	39	49	34.2	41.6
ENSMUSG00000022416	47.7	46.4	48.2	55.3	44.2	44.9	43.2	46.2	41.8	49.3	41.9	43.6	50.1	43.6	49.5	44.8	45.9	39.2	43.5	45	44.2	48.5	48.8	46.5
ENSMUSG00000022840	85.2	87.1	105.8	97.8	97.5	80.8	93.5	79	83.9	92.4	87.1	82.2	85.4	82.3	81.3	87.4	89.5	80.2	86.7	88.2	77.3	89	87.2	87.2
ENSMUSG00000022994	284	290	292.3	254.3	329.5	330.3	340.5	332.8	296.6	309.6	310.9	304.2	282.7	281	269.7	284.1	294.6	296	294.3	298	268.6	299	316.7	298
ENSMUSG00000023439	121.7	107.6	105	95.4	114.3	115	112.4	106.1	112.9	117	116.7	115.5	98.5	103.6	100.8	107.2	104.2	112.3	111.7	99.2	117.6	126.9	110.9	117.7
ENSMUSG00000024112	109.9	92.9	100.5	96.3	116.7	103.7	95.2	100.2	105.6	105.5	99.4	91.3	96.4	100.2	107	91.4	96.6	100.8	99.5	102.5	101.8	101	96.1	103.5
ENSMUSG00000024256	50.8	42.2	44.3	55.7	50.5	46	46.4	50.1	48.8	54.1	47.1	44.5	41.7	44.5	42.6	46	44.6	39.8	40.3	41.5	46.9	44.5	49.6	42.3
ENSMUSG00000024617	755.4	677.9	718.9	688.4	735.4	722	743.8	729.2	675	765.4	729	694.2	697.2	647.6	719.4	699.6	708.3	687.1	683.9	693.2	658.5	628.1	624.4	634.6
ENSMUSG00000024639	485.1	544.8	488.6	415.5	503.3	527.3	498	488.2	454.4	457.9	488.7	491.6	470.8	505.9	508.4	494.3	501.2	479	488.3	485.8	437.8	404.1	492.3	444.1
ENSMUSG00000024960	295.7	304.3	300.1	270.7	303.1	314	306.8	336	300.1	281.2	305.4	286.8	269.1	295.9	284.4	287.6	297.7	307.8	352.3	312.3	273.8	297.7	304	288.8
ENSMUSG00000025739	70.3	62.6	64.7	71.6	62.5	61.4	62.9	65.9	68.4	66.5	66.9	60.5	62.6	60	61.9	60.9	62.8	57.4	61.2	61.5	65.2	63.7	61.4	65.1
ENSMUSG00000025892	43.7	46.4	46.9	48	46.8	43.4	47.1	42.4	43.8	42.6	47.1	46	39.5	34.5	35.8	37.8	37.5	39.6	35.6	36.7	37.7	43.9	40	34.4
ENSMUSG00000025958	437.1	455.4	469	493.4	455.5	515.6	448.4	467.9	426.6	391.8	457.6	445.2	503.9	515.5	482.1	480	439.4	444.6	425.5	412.4	403	445.7	456.7	461.7
ENSMUSG00000026567	31.2	32.9	32.9	31.7	32	30.8	30.2	32.7	32.6	31.7	32.6	33.2	31.4	29.6	30.9	30.7	30.9	32.3	30.8	31.6	30.4	36.1	33	32.6
ENSMUSG00000026824	88.6	81.8	78.5	79.4	77.9	76.3	94.4	88.6	77.3	92.2	82.6	80.6	62.8	67.8	69.2	66.8	73.3	73.2	70.9	70	70.5	67.4	79.8	65.4
ENSMUSG00000026959	108.5	93.7	97.4	111.1	102.2	94.6	102.6	96.2	93	89.5	96.3	90.4	83.6	72.9	84.3	85.9	82.5	77.5	82	81.1	79.5	84.5	75.6	75.8
ENSMUSG00000027523	1831.7	1823.6	1823.8	1743.6	1890.9	1861.1	1827.2	1824.1	1747.3	1818	1835.2	1785.5	1785.7	1802.3	1750.9	1740.7	1755.1	1866.4	1735.3	1767.4	1745.5	1725	1700	1722
ENSMUSG00000027669	179.6	225.8	210.4	199.8	232.9	273.7	226.6	217.9	219.7	172.9	195.4	206.6	202	221.5	201.7	221.4	215.6	196.3	223.8	211.6	193.4	189.9	208.9	230.1
ENSMUSG00000028957	296.1	247.1	211.4	198.8	277.6	350.9	408.2	544.8	498.5	452.5	415.2	357.1	265.1	232.4	201.4	221.6	255.7	477.4	507.8	495.9	469.3	468.8	409.9	324.5
ENSMUSG00000029064	2045.8	2176.7	2480.2	2235.3	2317.2	2338.5	2391.2	2284.3	2138.4	2050.1	2137.6	2087.8	2129.9	2064	2080.3	2107.4	2209	2033.5	2032.8	2031.7	1833.5	2122.8	2026.9	2078.4
ENSMUSG00000029334	45.8	49.6	40.7	43.6	46.6	46.3	48.4	45.7	47.6	45.1	45	43.8	46	46	43.3	43.2	47	53	44.7	44.3	45.9	44.9	45.8	48.9
ENSMUSG00000029361	751.4	805.7	608.9	516.1	711.2	635.8	648.1	679.9	548.8	663.3	569.4	609.5	517.7	691.7	637.7	650.5	777.6	814.7	626.1	574.5	553.6	354.3	553.6	563
ENSMUSG00000029663	27	26.1	30.4	29.5	28.6	27.8	26	26.5	29.7	30.3	31.6	28.7	29.2	27	28.3	27.7	28.2	32.1	27	25.1	35.1	31.9	33.9	26.7
ENSMUSG00000029713	886.4	885	951.2	874	937.2	874.3	903.8	969.2	897.9	861.2	895.7	874.2	888.2	867.6	958.3	883.7	872.6	888.9	913.3	940.3	891.1	894.1	870.5	889.2
ENSMUSG00000029778	149.8	149.8	141	170.6	157.8	172.6	140.1	158.8	151	150.2	145.7	151.7	131.4	116.8	126.5	125.5	124.7	128.4	133.6	127.7	124.6	145	132.3	136.1
ENSMUSG00000030102	258.5	302.6	293.4	292.1	286.8	295.4	276.1	251.5	232.5	222.2	226.6	240.2	253.6	272.2	277.2	255.7	262.3	279.1	264.1	227.9	211.3	218.5	236.8	242.7
ENSMUSG00000030209	43.2	47.9	48.4	59.2	49.1	45.4	48	46.9	46.1	51.9	52.6	48	48	46.8	41.2	42.4	46.1	44.4	42	42.8	46.4	49.2	49	47
ENSMUSG00000030592	8376	8630.6	8500.6	8365	8454.7	8846.2	8086.2	8543.1	8018.1	8693	8342.4	8876.3	7912.7	8406.8	8399.3	8362.7	8166.7	8938.1	8317	8747.4	7984.8	8079.5	8396.3	8433.1
ENSMUSG00000031659	206	191.9	237.6	231.7	190.4	187.2	208.3	184.3	188.5	177.4	176.9	162.1	228.5	206.3	240.7	211.1	200.8	166.1	179	208.9	152.1	206.5	181.9	190.4
ENSMUSG00000031748	443.8	449	472.7	414.8	550.6	481.9	555.7	506.8	460.3	418.4	484.2	478.1	336.9	390.5	372.4	338.8	427.1	389.9	402.5	336.2	328.8	303.9	407.2	382.9
ENSMUSG00000032034	44.3	37.7	43	54.5	42.5	42.9	37.8	37	40.9	48.8	42.3	41.8	43.2	42.3	40.8	38.2	42.4	45.2	42.9	40.3	43.8	45.1	43.1	43.5
ENSMUSG00000032192	322.1	329.6	302.1	279.9	372.1	312.5	339.6	328.1	280.6	307.4	297.9	286.1	299.3	297.5	284.5	309.7	358	303.2	251.5	267.8	238.2	262.4	293.8	293.8
ENSMUSG00000032246	76	72.8	72.5	76.6	70.9	74.7	77.3	77.7	87.9	87	84.7	77.7	79.5	67.3	77.8	72.4	77.1	77.5	66	70.3	79.2	100.4	87.2	63.6
ENSMUSG00000032562	1275	1374	1662.2	1371.7	1482.5	1425.9	1497.4	1399.2	1341	1251	1232.5	1298.6	1451.2	1407.9	1439.2	1361.4	1340.9	1329.7	1304.9	1370.7	1252.5	1419.6	1249.6	1346.3
ENSMUSG00000032766	63.4	58.5	62.9	57.9	66.2	74.5	70.1	66.4	62.1	56.3	60.1	58.7	57.8	60.6	63.4	72.8	62.5	71	71.1	70.3	62.8	57.6	67.8	62.8
ENSMUSG00000033765	73.1	84.7	80.1	87	82.2	81	76.3	76.6	79.7	86.2	80.2	79.5	75.1	73.4	88.9	91.4	83.1	79.9	75.8	78.7	85	80	75.7	76.5
ENSMUSG00000033981	34.8	38.4	38.6	41	41.1	39.7	41.2	39.5	39.1	43	38.1	42.1	34.5	32.8	30.8	31.9	33.4	32.4	29.5	28.9	35.6	32.6	33	30.3
ENSMUSG00000036402	1160	1256.1	1287.5	1240.3	1267.8	1270.8	1266.8	1311.3	1281.4	1204.9	1249.3	1184.6	1295.3	1294.6	1279.1	1264.1	1320.9	1304	1233.7	1233.9	1197.1	1268.6	1250.5	1164.6
ENSMUSG00000036438	1605.9	1545.2	1410.5	1583	1262	1648.4	1430.5	1553.7	1420.7	1461	1342.2	1567	1526.2	1609.4	1570.9	1674.2	1324.2	1479.9	1330.9	1771.9	1436.3	1430.6	1456	1462.7
