ID	raw.pvalue	default.pvalue	period	phase	amplitude
ENSMUSG00000030751	0.00198807980606	0.0759240759241	24	6	7.8
ENSMUSG00000029446	0.012928792207	0.278721278721	24	18	9.2
ENSMUSG00000030967	0.00678191623973	0.216783216783	24	12	716.6
ENSMUSG00000032112	0.0657010261041	0.857142857143	24	12	149.1
ENSMUSG00000079477	0.00458357683864	0.165834165834	24	20	224.3
ENSMUSG00000020936	0.0198346309137	0.461538461538	24	14	626.4
ENSMUSG00000071415	0.0499085355115	0.757242757243	24	4	47.3
ENSMUSG00000028646	0.0274269731762	0.558441558442	24	10	520.1
ENSMUSG00000055204	0.000303320964553	0.00799200799201	24	12	399.1
ENSMUSG00000022193	0.0141061530844	0.355644355644	24	4	908.8
ENSMUSG00000008855	0.0499085355115	0.757242757243	24	14	79.9
ENSMUSG00000029234	0.00109209311449	0.031968031968	24	16	8.7
ENSMUSG00000025261	0.00678191623973	0.216783216783	24	8	220.3
ENSMUSG00000003346	0.00986438530634	0.278721278721	24	12	186.6
ENSMUSG00000070733	0.037302414642	0.658341658342	24	14	77.4
ENSMUSG00000020794	0.037302414642	0.658341658342	24	12	254.8
ENSMUSG00000021266	0.00986438530634	0.278721278721	24	0	216.6
ENSMUSG00000025156	0.037302414642	0.658341658342	24	16	165.7
ENSMUSG00000030751	0.00458357683864	0.165834165834	24	4	707.6
ENSMUSG00000067851	0.0141061530844	0.355644355644	24	16	22
ENSMUSG00000029446	0.0499085355115	0.757242757243	24	4	6.3
ENSMUSG00000026553	0.0198346309137	0.461538461538	24	20	661
ENSMUSG00000022100	0.0499085355115	0.757242757243	24	6	18.2
ENSMUSG00000028677	0.037302414642	0.658341658342	24	16	193.2
ENSMUSG00000037373	0.00678191623973	0.216783216783	24	6	234.1
ENSMUSG00000027828	0.0198346309137	0.461538461538	24	20	53.6
ENSMUSG00000005442	0.0274269731762	0.558441558442	24	14	38.6
ENSMUSG00000040688	0.0274269731762	0.558441558442	24	4	183.5
ENSMUSG00000028759	0.00678191623973	0.216783216783	24	22	138.5
ENSMUSG00000025261	0.00198807980606	0.0759240759241	24	14	435.3
ENSMUSG00000026553	0.0351068570132	0.558441558442	24	18	20.4
ENSMUSG00000018585	0.0198346309137	0.461538461538	24	10	268.4
ENSMUSG00000026878	0.00678191623973	0.216783216783	24	0	37.4
ENSMUSG00000020936	0.00127564064606	0.0519480519481	24	12	280.4
ENSMUSG00000067851	0.0851172157144	0.919080919081	24	16	532.1
ENSMUSG00000014355	0.108544481499	0.959040959041	24	6	29.6
ENSMUSG00000025224	0.000498304577025	0.017982017982	24	18	23.4
ENSMUSG00000022100	0.00986438530634	0.278721278721	24	0	494.7
ENSMUSG00000025224	0.0310454279838	0.558441558442	24	0	17.3
ENSMUSG00000025261	0.00678191623973	0.216783216783	24	4	308.2
ENSMUSG00000025224	0.000498304577025	0.017982017982	24	2	619.8
ENSMUSG00000008855	0.00678191623973	0.216783216783	24	16	60.3
ENSMUSG00000022770	0.0198346309137	0.461538461538	24	16	12.7
ENSMUSG00000034820	0.037302414642	0.658341658342	24	4	294.7
ENSMUSG00000022770	0.000498304577025	0.017982017982	24	6	1107.3
ENSMUSG00000028759	0.0198346309137	0.461538461538	24	12	791.7
ENSMUSG00000025224	0.00198807980606	0.0759240759241	24	20	49.3
ENSMUSG00000005442	0.00986438530634	0.278721278721	24	14	156.5
ENSMUSG00000071415	0.00779381160445	0.216783216783	24	22	66.1
ENSMUSG00000008855	0.00458357683864	0.165834165834	24	18	352.9
ENSMUSG00000030058	0.00127564064606	0.0519480519481	24	14	767
ENSMUSG00000026878	0.0274269731762	0.558441558442	24	16	73.1
ENSMUSG00000008855	0.037302414642	0.658341658342	24	6	261.5
ENSMUSG00000001158	0.0499085355115	0.757242757243	24	16	250.7
ENSMUSG00000015341	0.0274269731762	0.558441558442	24	4	12.8
ENSMUSG00000001289	0.0851172157144	0.919080919081	24	12	388.1
ENSMUSG00000026965	0.0112968931087	0.278721278721	24	20	12.1
ENSMUSG00000008855	0.00198807980606	0.0759240759241	24	16	140.7
ENSMUSG00000068328	0.0657010261041	0.857142857143	24	12	698.5
ENSMUSG00000005442	0.0141061530844	0.355644355644	24	18	202.6
ENSMUSG00000040688	0.0657010261041	0.857142857143	24	12	444.4
ENSMUSG00000008855	0.0657010261041	0.857142857143	24	6	89.8
ENSMUSG00000022898	0.0657010261041	0.857142857143	24	16	188.4
ENSMUSG00000025224	0.00304494423385	0.113886113886	24	20	1079.7
ENSMUSG00000005442	0.056001493095	0.757242757243	24	0	47.5
ENSMUSG00000020459	0.0851172157144	0.919080919081	24	10	139.8
ENSMUSG00000034820	0.00986438530634	0.278721278721	24	22	115
ENSMUSG00000029405	0.00458357683864	0.165834165834	24	14	109.1
ENSMUSG00000037373	0.037302414642	0.658341658342	24	20	30.9
ENSMUSG00000038160	0.0198346309137	0.461538461538	24	14	52.6
ENSMUSG00000093575	0.037302414642	0.658341658342	24	22	158.1
ENSMUSG00000005442	0.00304494423385	0.113886113886	24	8	85.5
ENSMUSG00000021266	0.0657010261041	0.857142857143	24	20	553.2
ENSMUSG00000008855	0.0499085355115	0.757242757243	24	10	414.9
ENSMUSG00000026810	0.0274269731762	0.558441558442	24	10	344.1
ENSMUSG00000021282	0.00127564064606	0.0519480519481	24	10	364.4
ENSMUSG00000027598	0.000181393054767	0.003996003996	24	16	691.9
ENSMUSG00000015341	0.0141061530844	0.355644355644	24	16	45.8
ENSMUSG00000005982	0.000498304577025	0.017982017982	24	16	779.4
ENSMUSG00000026553	0.0851172157144	0.919080919081	24	4	698.7
ENSMUSG00000041645	0.0274269731762	0.558441558442	24	6	43.2
ENSMUSG00000067851	0.000303320964553	0.00799200799201	24	22	5.4
ENSMUSG00000029405	0.0198346309137	0.461538461538	24	18	23.6
ENSMUSG00000024309	0.0657010261041	0.857142857143	24	10	400.1
ENSMUSG00000025224	0.000146699795895	0.000999000999001	24	16	5.8
ENSMUSG00000078552	0.0160951945452	0.355644355644	24	14	26
ENSMUSG00000008855	0.00986438530634	0.278721278721	24	16	276.4
ENSMUSG00000024414	0.0851172157144	0.919080919081	24	14	371.2
ENSMUSG00000001016	0.0198346309137	0.461538461538	24	0	45.2
ENSMUSG00000007036	0.0657010261041	0.857142857143	24	8	58.2
ENSMUSG00000029234	0.0851172157144	0.919080919081	24	2	9.1
ENSMUSG00000030058	0.000804315697334	0.031968031968	24	18	701.4
ENSMUSG00000026965	0.0141061530844	0.355644355644	24	2	53.4
ENSMUSG00000024740	0.0274269731762	0.558441558442	24	16	732
ENSMUSG00000008855	0.00198807980606	0.0759240759241	24	4	157.2
ENSMUSG00000032112	0.0274269731762	0.558441558442	24	12	322.1
ENSMUSG00000040688	0.0141061530844	0.355644355644	24	8	202.1
ENSMUSG00000026878	0.136285565796	0.989010989011	24	12	84.3
ENSMUSG00000014355	0.168523669688	0.999000999001	24	0	168.9
ENSMUSG00000001158	0.037302414642	0.658341658342	24	14	52.4
ENSMUSG00000025224	0.00986438530634	0.278721278721	24	14	12.6
ENSMUSG00000040688	0.000498304577025	0.017982017982	24	16	98.2
ENSMUSG00000040688	0.0499085355115	0.757242757243	24	0	210.5
ENSMUSG00000014355	0.108544481499	0.959040959041	24	2	53.5
ENSMUSG00000035505	0.0183505987491	0.355644355644	24	16	4.7
ENSMUSG00000022100	0.0198346309137	0.461538461538	24	12	615.3
ENSMUSG00000026965	0.108544481499	0.959040959041	24	0	202.2
ENSMUSG00000020794	0.0499085355115	0.757242757243	24	10	407.9
ENSMUSG00000022770	0.00304494423385	0.113886113886	24	6	562.7
ENSMUSG00000010406	0.000498304577025	0.017982017982	24	18	348.9
ENSMUSG00000028677	0.00198807980606	0.0759240759241	24	12	431.2
ENSMUSG00000022770	0.000804315697334	0.031968031968	24	6	581
ENSMUSG00000021327	0.000181393054767	0.003996003996	24	18	1277.6
ENSMUSG00000038160	0.0946146815865	0.919080919081	24	22	3.9
ENSMUSG00000040688	0.0499085355115	0.757242757243	24	2	57.6
