Affy.ID	Gene.ID	Gene.Type
10338071	ENSMUSG00000030751	protein_coding
10338072	ENSMUSG00000029446	protein_coding
10338074	ENSMUSG00000030967	protein_coding
10338075	ENSMUSG00000032112	protein_coding
10338076	ENSMUSG00000079477	protein_coding
10338077	ENSMUSG00000020936	protein_coding
10338084	ENSMUSG00000071415	protein_coding
10338085	ENSMUSG00000028646	protein_coding
10338094	ENSMUSG00000055204	protein_coding
10338095	ENSMUSG00000022193	protein_coding
10338098	ENSMUSG00000008855	protein_coding
10338099	ENSMUSG00000029234	protein_coding
10338104	ENSMUSG00000025261	protein_coding
10338106	ENSMUSG00000003346	protein_coding
10338107	ENSMUSG00000070733	protein_coding
10338111	ENSMUSG00000020794	protein_coding
10338116	ENSMUSG00000021266	protein_coding
10338117	ENSMUSG00000025156	protein_coding
10338120	ENSMUSG00000030751	protein_coding
10338121	ENSMUSG00000067851	protein_coding
10338122	ENSMUSG00000029446	protein_coding
10338123	ENSMUSG00000026553	protein_coding
10338127	ENSMUSG00000022100	protein_coding
10338128	ENSMUSG00000028677	protein_coding
10338138	ENSMUSG00000037373	protein_coding
10338139	ENSMUSG00000027828	protein_coding
10338142	ENSMUSG00000005442	protein_coding
10338144	ENSMUSG00000040688	protein_coding
10338145	ENSMUSG00000028759	protein_coding
10338147	ENSMUSG00000025261	protein_coding
10338149	ENSMUSG00000026553	protein_coding
10338150	ENSMUSG00000018585	protein_coding
10338153	ENSMUSG00000026878	protein_coding
10338154	ENSMUSG00000020936	protein_coding
10338155	ENSMUSG00000067851	protein_coding
10338156	ENSMUSG00000014355	protein_coding
10338158	ENSMUSG00000025224	protein_coding
10338163	ENSMUSG00000022100	protein_coding
10338165	ENSMUSG00000025224	protein_coding
10338166	ENSMUSG00000025261	protein_coding
10338168	ENSMUSG00000025224	protein_coding
10338169	ENSMUSG00000008855	protein_coding
10338171	ENSMUSG00000022770	protein_coding
10338176	ENSMUSG00000034820	protein_coding
10338179	ENSMUSG00000022770	protein_coding
10338180	ENSMUSG00000028759	protein_coding
10338184	ENSMUSG00000025224	protein_coding
10338186	ENSMUSG00000005442	protein_coding
10338188	ENSMUSG00000071415	protein_coding
10338195	ENSMUSG00000008855	protein_coding
10338196	ENSMUSG00000030058	protein_coding
10338198	ENSMUSG00000026878	protein_coding
10338202	ENSMUSG00000008855	protein_coding
10338205	ENSMUSG00000001158	protein_coding
10338215	ENSMUSG00000015341	protein_coding
10338217	ENSMUSG00000001289	protein_coding
10338218	ENSMUSG00000026965	protein_coding
10338219	ENSMUSG00000008855	protein_coding
10338221	ENSMUSG00000068328	protein_coding
10338228	ENSMUSG00000005442	protein_coding
10338231	ENSMUSG00000040688	protein_coding
10338237	ENSMUSG00000008855	protein_coding
10338242	ENSMUSG00000022898	protein_coding
10338244	ENSMUSG00000025224	protein_coding
10338249	ENSMUSG00000005442	protein_coding
10338251	ENSMUSG00000020459	protein_coding
10338254	ENSMUSG00000034820	protein_coding
10338263	ENSMUSG00000029405	protein_coding
10338267	ENSMUSG00000037373	protein_coding
10338268	ENSMUSG00000038160	protein_coding
10338271	ENSMUSG00000093575	protein_coding
10338272	ENSMUSG00000005442	protein_coding
10338280	ENSMUSG00000021266	protein_coding
10338282	ENSMUSG00000008855	protein_coding
10338283	ENSMUSG00000026810	protein_coding
10338286	ENSMUSG00000021282	protein_coding
10338292	ENSMUSG00000027598	protein_coding
10338293	ENSMUSG00000015341	protein_coding
10338295	ENSMUSG00000005982	protein_coding
10338298	ENSMUSG00000026553	protein_coding
10338302	ENSMUSG00000041645	protein_coding
10338303	ENSMUSG00000067851	protein_coding
10338304	ENSMUSG00000029405	protein_coding
10338306	ENSMUSG00000024309	protein_coding
10338309	ENSMUSG00000025224	protein_coding
10338316	ENSMUSG00000078552	protein_coding
10338322	ENSMUSG00000008855	protein_coding
10338327	ENSMUSG00000024414	protein_coding
10338331	ENSMUSG00000001016	protein_coding
10338332	ENSMUSG00000007036	protein_coding
10338338	ENSMUSG00000029234	protein_coding
10338339	ENSMUSG00000030058	protein_coding
10338341	ENSMUSG00000026965	protein_coding
10338344	ENSMUSG00000024740	protein_coding
10338346	ENSMUSG00000008855	protein_coding
10338347	ENSMUSG00000032112	protein_coding
10338348	ENSMUSG00000040688	protein_coding
10338349	ENSMUSG00000026878	protein_coding
10338354	ENSMUSG00000014355	protein_coding
10338369	ENSMUSG00000001158	protein_coding
10338370	ENSMUSG00000025224	protein_coding
10338371	ENSMUSG00000040688	protein_coding
10338374	ENSMUSG00000040688	protein_coding
10338376	ENSMUSG00000014355	protein_coding
10338379	ENSMUSG00000035505	protein_coding
10338380	ENSMUSG00000022100	protein_coding
10338383	ENSMUSG00000026965	protein_coding
10338384	ENSMUSG00000020794	protein_coding
10338394	ENSMUSG00000022770	protein_coding
10338395	ENSMUSG00000010406	protein_coding
10338396	ENSMUSG00000028677	protein_coding
10338398	ENSMUSG00000022770	protein_coding
10338399	ENSMUSG00000021327	protein_coding
10338401	ENSMUSG00000038160	protein_coding
10338408	ENSMUSG00000040688	protein_coding
10338410	ENSMUSG00000019868	protein_coding
10338414	ENSMUSG00000078923	protein_coding
10338415	ENSMUSG00000032112	protein_coding
10338419	ENSMUSG00000014355	protein_coding
10338421	ENSMUSG00000025224	protein_coding
10338426	ENSMUSG00000025224	protein_coding
10338437	ENSMUSG00000026553	protein_coding
10338440	ENSMUSG00000025224	protein_coding
10338446	ENSMUSG00000014355	protein_coding
10338450	ENSMUSG00000003346	protein_coding
10338460	ENSMUSG00000067851	protein_coding
10338462	ENSMUSG00000026965	protein_coding
10338463	ENSMUSG00000024740	protein_coding
10338465	ENSMUSG00000026553	protein_coding
10338466	ENSMUSG00000071659	protein_coding
10338471	ENSMUSG00000020368	protein_coding
10338472	ENSMUSG00000004207	protein_coding
10338473	ENSMUSG00000030751	protein_coding
10338474	ENSMUSG00000025261	protein_coding
10338476	ENSMUSG00000028759	protein_coding
10338477	ENSMUSG00000032803	protein_coding
10338486	ENSMUSG00000020708	protein_coding
10338493	ENSMUSG00000022770	protein_coding
10338496	ENSMUSG00000022365	protein_coding
10338498	ENSMUSG00000026878	protein_coding
10338504	ENSMUSG00000004207	protein_coding
10338510	ENSMUSG00000029405	protein_coding
10338512	ENSMUSG00000014355	protein_coding
10338514	ENSMUSG00000020794	protein_coding
10338515	ENSMUSG00000024740	protein_coding
10338519	ENSMUSG00000040688	protein_coding
10338522	ENSMUSG00000027828	protein_coding
10338524	ENSMUSG00000013160	protein_coding
10338526	ENSMUSG00000029405	protein_coding
10338528	ENSMUSG00000026965	protein_coding
10338529	ENSMUSG00000021282	protein_coding
10338540	ENSMUSG00000020794	protein_coding
10338541	ENSMUSG00000012819	protein_coding
10338552	ENSMUSG00000071415	protein_coding
10338556	ENSMUSG00000022770	protein_coding
