ID	ZT00	ZT03	ZT06	ZT09	ZT12	ZT15	ZT18	ZT21
FBgn0000092	4.863	1.791	2.95	3.522	1.869	2.767	5.003	2.168
FBgn0000259	34.391	34.235	31.421	32.255	31.744	32.352	30.727	39.276
FBgn0000259	20.181	21.352	19.698	18.928	18.662	18.941	18.237	22.605
FBgn0000259	16.658	17.451	16.167	15.7	15.314	15.406	14.876	18.044
FBgn0000259	38.529	37.5	34.847	35.549	33.906	34.787	32.275	41.307
FBgn0000459	2.668	2.133	2.241	1.854	2.414	1.988	2.118	1.841
FBgn0000479	11.829	10.559	7.265	9.629	10.923	9.296	9.116	12.216
FBgn0000479	6.379	6.207	5.636	5.389	6.374	5.552	5.558	6.726
FBgn0000479	9.698	8.688	6.053	8.427	8.672	7.794	7.541	9.884
FBgn0000479	9.788	8.789	6.109	8.415	8.728	7.809	7.557	9.958
FBgn0000479	11.671	10.207	6.978	9.363	10.287	9.107	8.642	11.756
FBgn0000479	6.316	6.089	5.637	5.501	6.288	5.393	5.678	6.723
FBgn0000479	12.44	11.315	7.83	9.993	11.309	9.746	9.679	12.74
FBgn0000479	5.806	5.641	5.127	4.935	5.804	5.061	5.065	6.111
FBgn0001233	300.226	300.064	479.155	428.929	442.971	355.037	270.336	285.436
FBgn0001297	53.769	66.862	49.233	54.817	64.946	55.026	55.98	64.953
FBgn0001624	22.029	20.294	14.43	18.748	20.234	18.954	16.232	20.705
FBgn0001624	1.795	1.356	1.028	1.394	1.628	1.137	1.149	1.639
FBgn0001624	1.825	1.537	1.079	1.413	1.799	1.178	1.252	1.55
FBgn0001624	14.124	10.704	5.532	10.175	11.484	11.596	7.829	11.737
FBgn0001624	1.8	1.5	1.162	1.365	1.8	1.185	1.114	1.688
FBgn0001624	17.26	15.982	11.42	14.716	15.967	14.888	12.858	16.26
FBgn0001624	22.928	20.999	13.755	19.395	20.78	19.684	16.276	21.249
FBgn0001624	22.884	20.906	13.66	19.312	20.643	19.55	16.221	21.136
FBgn0001624	22.948	21.093	13.782	19.467	20.774	19.685	16.34	21.196
FBgn0001624	23.502	21.551	14.791	20.095	21.492	20.251	17.141	22.069
FBgn0002413	24.434	24.322	22.629	24.265	28.968	25.67	24.715	25.486
FBgn0002413	24.221	24.19	22.38	24.065	28.847	25.516	24.39	25.461
FBgn0002413	18.517	18.57	16.996	18.251	21.81	19.229	18.665	19.355
FBgn0002917	1.19	1.155	0.891	1.066	1.126	1.057	1.02	1.087
FBgn0003301	3.646	6.279	4.35	4.128	3.985	3.512	3.949	8.889
FBgn0003301	4.395	7.029	4.868	4.641	4.285	4.115	4.315	10.237
FBgn0003301	4.072	6.54	4.562	4.385	4.041	3.821	4.012	9.616
FBgn0003301	4.368	6.888	4.791	4.636	4.233	4.078	4.262	10.071
FBgn0003371	57.138	55.863	46.294	53.992	56.823	49.204	45.678	54.989
FBgn0003371	60.408	60.652	50.162	57.168	61.286	52.806	49.212	58.638
FBgn0003371	60.717	59.488	49.298	57.04	60.398	52.627	48.882	58.488
FBgn0003371	56.448	55.223	45.727	53.235	56.091	48.679	45.058	54.378
FBgn0003371	47.846	47.243	36.943	46.105	46.011	42.396	36.582	46.833
FBgn0003371	39.242	37.927	26.382	35.52	37.812	32.35	26.935	36.416
FBgn0003371	52.215	52.004	42.944	48.987	52.288	45.61	41.868	50.288
FBgn0003371	43.564	41.668	33.243	41.783	42.059	38.919	33.876	42.123
FBgn0003371	57.768	56.505	46.827	54.502	57.446	49.735	46.137	55.622
FBgn0003380	1.038	0.76	1.319	0.754	1.044	0.656	0.951	0.912
FBgn0003380	0.486	0.459	0.497	0.529	0.354	0.403	0.463	0.47
FBgn0003380	0.303	0.324	0.404	0.349	0.252	0.234	0.294	0.322
FBgn0003380	0.209	0.198	0.22	0.213	0.19	0.198	0.186	0.2
FBgn0003380	0.263	0.106	0.323	0.191	0.128	0.243	0.274	0.18
FBgn0003380	0.456	0.162	0.49	0.406	0.194	0.295	0.416	0.273
FBgn0003429	11.366	5.746	8.073	9.094	9.589	8.494	6.824	6.982
FBgn0003429	11.431	5.85	8.119	9.195	9.653	8.53	6.862	7.045
FBgn0003429	7.117	4.137	5.389	5.99	6.348	5.548	4.457	4.79
FBgn0003429	6.571	3.824	5.081	5.431	5.913	5.153	4.183	4.397
FBgn0003429	11.188	5.526	7.838	8.677	9.455	8.324	6.667	6.797
FBgn0003429	11.171	5.526	7.838	8.694	9.455	8.324	6.667	6.757
FBgn0003429	11.176	5.579	7.866	8.874	9.498	8.312	6.67	6.87
FBgn0003429	11.297	5.546	7.89	8.734	9.576	8.356	6.711	6.788
FBgn0003460	3.889	4.126	3.898	4.779	4.613	4.635	5.157	4.411
FBgn0003997	6.2	6.36	3.431	4.103	5.477	3.831	4.341	4.76
FBgn0004168	0.398	0.298	0.285	0.355	0.564	0.214	0.302	0.251
FBgn0004244	0.93	0.952	0.985	0.927	0.989	0.713	0.788	0.773
FBgn0004244	0.452	0.513	0.324	0.552	0.539	0.497	0.302	0.505
FBgn0004244	0.93	0.961	0.985	0.927	0.989	0.713	0.788	0.788
FBgn0004611	11.297	11.404	9.208	12.454	12.445	11.17	9.266	12.895
FBgn0004611	11.261	11.437	9.273	12.461	12.575	11.282	9.395	13.158
FBgn0004618	0.049	0.139	0	0.025	0	0.032	0.03	0.098
FBgn0004864	8.123	6.698	5.955	7.215	7.334	7.125	6.223	7.715
FBgn0005536	21.19	19.229	17.44	18.716	18.926	17.542	18.004	19.797
FBgn0005536	19.035	17.122	15.369	16.608	16.975	15.412	15.917	17.733
FBgn0005536	22.151	20.462	18.467	19.328	20.068	18.526	19.134	21.11
FBgn0005536	20.974	18.559	15.927	18.232	18.71	16.956	17.11	19.516
FBgn0005631	3.185	2.861	2.318	3.015	3.167	2.629	2.14	2.83
FBgn0005631	3.075	2.785	2.238	2.948	3.112	2.543	2.083	2.786
FBgn0011205	61.483	54.094	92.698	73.383	74.407	62.305	78.819	70.6
FBgn0011205	72.026	63.137	105.108	85.806	85.309	72.777	92.387	81.482
FBgn0011205	65.576	57.54	101.593	78.366	81.033	67.114	85.566	75.434
FBgn0011604	23.263	23.248	20.102	19.838	22.621	19.247	17.849	20.909
FBgn0011604	23.944	23.886	20.643	20.439	23.306	19.83	18.39	21.523
FBgn0011640	39.365	51.746	42.614	43.14	41.593	46.062	45.031	42.294
FBgn0011640	37.218	48.789	40.517	40.769	39.283	43.29	42.294	39.605
FBgn0011640	32.888	43.155	35.786	36.141	34.845	38.138	36.975	34.794
FBgn0011656	13.599	13.747	12.994	14.793	17.16	12.893	13.195	15.047
FBgn0011656	22.405	22.047	19.7	23.933	27.314	20.413	20.329	24.232
FBgn0011656	22.284	21.904	19.608	23.803	27.252	20.346	20.228	24.095
FBgn0011656	14.495	14.774	13.403	15.606	17.785	13.831	13.584	16.089
FBgn0011656	13.535	13.934	12.359	14.461	16.41	12.625	12.526	14.939
FBgn0012344	2.253	4.257	2.909	2.969	4.062	2.242	2.287	2.414
FBgn0014020	199.473	210.438	206.004	192.976	201.924	181.259	195.234	222.533
FBgn0014395	10.208	10.63	9.508	9.698	8.366	8.574	7.839	10.636
FBgn0014396	165.535	41.177	11.285	17.044	41.741	93.777	138.911	118.448
FBgn0014396	113.733	23.687	5.198	10.321	27.579	54.611	71.987	79.804
FBgn0014396	161.089	40.17	10.896	16.659	40.63	91.21	135.461	114.966
FBgn0015221	891.345	1082.213	1120.982	1077.036	1177.916	853.335	1194.99	1234.879
FBgn0015221	871.027	1057.192	1095.2	1052.082	1150.798	833.479	1167.503	1206.601
FBgn0015269	4.934	4.75	3.083	3.935	3.651	3.469	2.796	4.941
FBgn0015269	5.496	5.453	4.188	4.627	4.578	4.122	3.708	5.523
FBgn0015379	24.129	27.23	29.91	26.365	29.192	28.122	29.786	23.493
FBgn0015544	12.069	13.501	13.967	12.419	11.882	11.072	13.441	12.586
FBgn0016076	131.387	34.233	18.764	24.545	42.106	61.636	73.415	41.523
FBgn0016076	144.51	36.823	19.93	26.651	45.67	67.029	79.631	45.107
FBgn0016694	154.555	36.979	34.49	34.378	50.598	69.956	92.786	65.034
FBgn0016694	102.913	33.336	33.712	30.64	44.394	54.398	74.705	49.491
FBgn0016694	103.144	36.327	38.022	34.128	47.581	56.274	76.443	52.285
FBgn0020445	3.55	3.166	3.294	3.815	2.769	3.447	3.414	3.328
FBgn0020445	2.841	2.5	2.517	3.253	2.195	2.706	2.436	2.675
FBgn0022382	41.828	37.574	37.762	37.32	36.62	35.703	33.62	38.62
FBgn0023094	22.643	21.05	18.525	20.48	18.918	21.213	22.815	21.405
FBgn0023178	6.258	4.521	5.271	5.369	4.174	3.169	6.108	5.38
FBgn0023407	8.78	10.593	6.742	8.315	9.182	6.734	7.775	11.422
FBgn0023416	1.007	1.06	0.662	0.823	1.085	0.682	0.761	1
FBgn0023416	1.218	0.742	0.619	1.04	0.891	0.507	0.763	0.908
FBgn0024150	3.503	4.131	2.819	3.333	3.499	3.642	2.827	3.169
FBgn0024150	3.011	3.314	2.194	2.804	3.032	3.054	2.399	2.743
FBgn0025777	23.984	23.97	23.95	20.647	19.605	22.159	20.309	21.715
FBgn0025777	19.975	20.024	20.899	17.589	16.707	18.801	16.789	17.954
FBgn0025777	17.704	17.64	19.144	15.375	15.191	16.232	15.402	15.93
FBgn0025777	20.004	20.014	20.87	17.664	16.762	18.82	16.768	17.969
FBgn0026083	9.383	7.285	7.077	7.941	8.592	7.163	6.088	8.992
FBgn0026083	9.86	6.794	5.956	7.892	8.167	6.995	5.893	8.777
FBgn0026083	9.393	7.292	7.084	7.949	8.6	7.17	6.094	9.001
FBgn0026083	10.02	6.736	5.746	7.961	8.127	7.202	6.006	8.772
FBgn0026086	7.93	6.391	5.947	6.148	5.637	5.851	4.852	6.798
FBgn0026086	7.907	6.464	6.1	6.24	5.708	5.876	4.859	6.766
FBgn0026086	5.247	4.956	4.856	4.69	3.779	4.903	3.766	4.344
FBgn0026086	7.074	5.525	5.393	5.235	4.93	4.784	4.275	5.809
FBgn0026086	4.675	4.541	4.143	3.723	4.067	3.211	3.295	4.174
FBgn0026086	7.438	6.615	6.788	6.639	5.128	6.851	5.017	5.894
FBgn0026401	11.938	13.387	12.106	9.956	12.042	9.835	9.329	10.936
FBgn0026401	11.419	12.841	11.403	9.533	11.481	9.273	8.84	10.419
