ID	ZT00	ZT06	ZT12	ZT18
FBgn0000008	1.162	2.994	3.549	6.112
FBgn0000008	1.131	2.896	3.43	5.902
FBgn0000014	4.243	6.507	4.469	4.337
FBgn0000015	1.336	0.214	1.375	0.456
FBgn0000015	1.151	0.205	1.009	0.442
FBgn0000015	1.369	0.228	1.268	0.413
FBgn0000015	1.519	0.244	1.467	0.491
FBgn0000017	5.601	2.85	2.785	3.303
FBgn0000017	5.437	2.781	2.647	3.253
FBgn0000017	5.468	2.789	2.737	3.259
FBgn0000018	6.455	7.764	6.133	7.27
FBgn0000022	0	0.092	0.148	0.143
FBgn0000024	2.246	1.318	1.474	2.233
FBgn0000024	1.839	0.973	0.901	1.557
FBgn0000028	0.099	0.042	0.227	0.264
FBgn0000028	0.098	0.094	0.252	0.26
FBgn0000028	0.096	0.041	0.221	0.256
FBgn0000028	0.098	0.042	0.224	0.26
FBgn0000032	9.28	15.075	13.235	12.47
FBgn0000032	9.157	15.046	13.076	12.641
FBgn0000038	0.83	0.31	0.386	0.445
FBgn0000042	940.803	606.994	778.337	772.939
FBgn0000044	1675.838	1424.085	2472.895	1493.011
FBgn0000045	4.106	3.889	3.068	5.321
FBgn0000045	4.269	4.002	3.163	5.559
FBgn0000047	1.074	1.22	1.303	1.207
FBgn0000052	223.136	163.183	73.194	169.648
FBgn0000052	221.728	162.174	72.742	168.578
FBgn0000052	222.626	162.752	72.917	169.27
FBgn0000055	11410.094	11437.341	6261.699	7830.453
FBgn0000056	11410.094	11437.341	6261.699	7830.453
FBgn0000056	16.036	13.431	12.9	16.371
FBgn0000057	16.652	18.378	12.782	14.306
FBgn0000061	0.803	0.094	0.3	0.776
FBgn0000063	2.737	1.639	2.447	2.207
FBgn0000064	739.164	722.107	721.221	695.435
FBgn0000064	661.026	642.041	641.197	622.702
FBgn0000064	814.621	751.302	724.076	730.791
FBgn0000064	746.396	723.739	725.802	701.477
FBgn0000064	943.175	868.127	838.092	844.029
FBgn0000071	0.475	0.028	0.326	0.258
FBgn0000075	0.699	0.189	0.202	0.464
FBgn0000077	12.726	18.905	15.649	16.729
FBgn0000079	26.693	18.486	18.368	18.856
FBgn0000083	404.285	265.545	333.441	294.83
FBgn0000083	369.336	242.472	304.189	269.122
FBgn0000083	366.096	239.439	295.811	264.202
FBgn0000084	52.189	45.707	52.369	47.552
FBgn0000092	1.238	1.631	1.832	1.342
FBgn0000094	15.226	26.119	33.293	8.377
FBgn0000097	10.95	7.124	6.534	7.293
FBgn0000097	11.344	7.57	7.222	7.997
FBgn0000108	0.998	0.821	0.841	1.043
FBgn0000108	0.953	0.674	0.604	0.826
FBgn0000108	0.947	0.68	0.598	0.828
FBgn0000109	24.759	22.179	22.091	20.45
FBgn0000114	6.409	7.281	5.463	12.799
FBgn0000114	8.003	9.155	6.394	11.615
FBgn0000114	6.291	7.952	5.349	11.987
FBgn0000114	6.795	8.406	5.908	13.245
FBgn0000116	483.884	441.355	707.451	522.29
FBgn0000116	714.728	656.052	1066.465	784.567
FBgn0000116	525.589	478.987	771.37	567.952
FBgn0000120	9.964	5.114	6.815	5.629
FBgn0000121	36.876	19.657	23.018	22.49
FBgn0000139	26.246	31.992	26.398	29.878
FBgn0000150	1240.364	1087.432	1286.802	1253.551
FBgn0000157	0.64	0.352	0.649	0.425
FBgn0000157	0.536	0.328	0.49	0.339
FBgn0000158	0.296	0.021	0.294	0.175
FBgn0000163	7.89	8.689	6.232	8.56
FBgn0000166	0.13	0.067	0.197	0.208
FBgn0000166	0.131	0.067	0.198	0.209
FBgn0000166	0.129	0.066	0.195	0.206
FBgn0000166	0.13	0.067	0.196	0.207
FBgn0000173	49.397	54.665	57.604	53.603
FBgn0000173	49.696	60.195	61.364	61.976
FBgn0000179	0.105	0.048	0.113	0.199
FBgn0000180	0.661	0.411	0.371	0.532
FBgn0000181	447.486	431.235	326.03	353.275
FBgn0000182	0.356	0.183	0.526	1.705
FBgn0000182	0.326	0.168	0.493	1.529
FBgn0000183	29.855	40.376	29.639	35.095
FBgn0000183	29.872	42.168	29.817	36.834
FBgn0000183	36.09	49.316	36.076	43.433
FBgn0000227	0.244	0.094	0.267	0.388
FBgn0000228	8.311	7.083	6.624	7.426
FBgn0000229	27.022	31.41	28.573	27.814
FBgn0000244	50.284	41.931	42.225	36.544
FBgn0000244	32.273	26.861	27.152	23.48
FBgn0000244	33.956	28.509	28.608	25.022
FBgn0000246	1.347	1.73	1.36	1.655
FBgn0000250	97.968	61.176	66.632	61.127
FBgn0000250	92.75	57.917	63.106	57.871
FBgn0000250	96.978	60.721	66.03	60.232
FBgn0000251	8.574	0.134	0.251	0.365
FBgn0000251	8.422	0.131	0.246	0.357
FBgn0000251	9.001	0.144	0.249	0.39
FBgn0000253	176.337	156.678	145.831	160.593
FBgn0000256	16.384	16.256	16.119	23.369
FBgn0000256	14.978	14.567	14.429	21.113
FBgn0000256	16.293	16.425	16.429	23.493
FBgn0000256	19.627	19.69	19.753	27.637
FBgn0000256	16.164	15.95	15.931	23.029
FBgn0000257	10.515	13.257	9.239	10.345
FBgn0000257	10.218	12.934	9	10.107
FBgn0000259	22.076	24.656	22.546	22.401
FBgn0000259	22.396	24.193	22.977	23.18
FBgn0000259	13.232	12.966	12.674	11.998
FBgn0000259	10.782	10.729	10.479	9.728
FBgn0000274	0.687	0.22	0.875	2.997
FBgn0000274	0.685	0.22	0.873	2.99
FBgn0000278	80.889	11.038	14.49	27.522
FBgn0000279	223.178	45.254	62.422	43.05
FBgn0000286	17.358	17.641	21.448	20.059
FBgn0000286	17.372	17.706	21.532	20.075
FBgn0000286	17.565	17.89	21.891	20.247
FBgn0000289	8.9	7.726	7.123	8.022
FBgn0000289	8.62	7.566	6.944	7.868
FBgn0000289	8.137	7.284	6.54	7.441
FBgn0000303	0.544	0.201	0.419	0.515
