Gene.ID	Transcript.ID	Affy.ID	Gene.Type
ENSRNOG00000038902	ENSRNOT00000059467	1377728_at	protein_coding
ENSRNOG00000033540	ENSRNOT00000043686		protein_coding
ENSRNOG00000001452	ENSRNOT00000001973		protein_coding
ENSRNOG00000017462	ENSRNOT00000023584	1375047_at	protein_coding
ENSRNOG00000017462	ENSRNOT00000078650	1375047_at	protein_coding
ENSRNOG00000005491	ENSRNOT00000007309		protein_coding
ENSRNOG00000019804	ENSRNOT00000026875	1373014_at	protein_coding
ENSRNOG00000042286	ENSRNOT00000068623		protein_coding
ENSRNOG00000003073	ENSRNOT00000004104		protein_coding
ENSRNOG00000021693	ENSRNOT00000034448	1385334_at	protein_coding
ENSRNOG00000021693	ENSRNOT00000034448	1393906_at	protein_coding
ENSRNOG00000005151	ENSRNOT00000006953	1374573_at	protein_coding
ENSRNOG00000005151	ENSRNOT00000068030	1374573_at	protein_coding
ENSRNOG00000006703	ENSRNOT00000008743	1397447_at	protein_coding
ENSRNOG00000018567	ENSRNOT00000025294	1370314_at	protein_coding
ENSRNOG00000004356	ENSRNOT00000005768		protein_coding
ENSRNOG00000025619	ENSRNOT00000033977	1374305_at	protein_coding
ENSRNOG00000039601	ENSRNOT00000060703		protein_coding
ENSRNOG00000003633	ENSRNOT00000004880	1369140_at	protein_coding
ENSRNOG00000015444	ENSRNOT00000020699		protein_coding
ENSRNOG00000018767	ENSRNOT00000025550	1388355_at	protein_coding
ENSRNOG00000018767	ENSRNOT00000025550	1396185_at	protein_coding
ENSRNOG00000027506	ENSRNOT00000038938		protein_coding
ENSRNOG00000019575	ENSRNOT00000026526	1384289_at	protein_coding
ENSRNOG00000030830	ENSRNOT00000040170	1377623_at	protein_coding
ENSRNOG00000001959	ENSRNOT00000039876	1371015_at	protein_coding
ENSRNOG00000057960	ENSRNOT00000091437		lincRNA
ENSRNOG00000061652	ENSRNOT00000086475		lincRNA
ENSRNOG00000057255	ENSRNOT00000083040		misc_RNA
ENSRNOG00000054208	ENSRNOT00000063198		miRNA
ENSRNOG00000000954	ENSRNOT00000001261	1371351_at	protein_coding
ENSRNOG00000009450	ENSRNOT00000012644	1387997_at	protein_coding
ENSRNOG00000009450	ENSRNOT00000012644	1389707_at	protein_coding
ENSRNOG00000052006	ENSRNOT00000071718	1374986_x_at	pseudogene
ENSRNOG00000052630	ENSRNOT00000080240		lincRNA
ENSRNOG00000008345	ENSRNOT00000011287	1394790_at	protein_coding
ENSRNOG00000008345	ENSRNOT00000011287	1389392_at	protein_coding
ENSRNOG00000050876	ENSRNOT00000046167		protein_coding
ENSRNOG00000012718	ENSRNOT00000017022	1382242_at	protein_coding
ENSRNOG00000047085	ENSRNOT00000075420		protein_coding
ENSRNOG00000056247	ENSRNOT00000083070		misc_RNA
ENSRNOG00000028248	ENSRNOT00000033486		protein_coding
ENSRNOG00000057153	ENSRNOT00000077727	1370445_at	protein_coding
ENSRNOG00000001647	ENSRNOT00000002247	1372564_at	protein_coding
ENSRNOG00000017330	ENSRNOT00000023483		protein_coding
ENSRNOG00000054542	ENSRNOT00000078197		lincRNA
ENSRNOG00000056975	ENSRNOT00000081177		misc_RNA
ENSRNOG00000017265	ENSRNOT00000023550	1372554_at	protein_coding
ENSRNOG00000049532	ENSRNOT00000072060		miRNA
ENSRNOG00000009675	ENSRNOT00000039059	1372018_at	protein_coding
ENSRNOG00000009675	ENSRNOT00000039059	1387695_at	protein_coding
ENSRNOG00000009675	ENSRNOT00000080623	1387695_at	protein_coding
ENSRNOG00000015850	ENSRNOT00000021348	1374863_at	protein_coding
ENSRNOG00000053524	ENSRNOT00000082553		snRNA
ENSRNOG00000028865	ENSRNOT00000042142	1378449_at	protein_coding
ENSRNOG00000010008	ENSRNOT00000013501	1389247_at	protein_coding
ENSRNOG00000051788	ENSRNOT00000087195		snRNA
ENSRNOG00000034107	ENSRNOT00000041750	1372644_at	protein_coding
ENSRNOG00000024780	ENSRNOT00000037371	1381391_at	protein_coding
ENSRNOG00000053029	ENSRNOT00000091322		lincRNA
ENSRNOG00000059745	ENSRNOT00000087097		snoRNA
ENSRNOG00000013963	ENSRNOT00000018877	1370957_at	protein_coding
ENSRNOG00000010807	ENSRNOT00000014407	1367757_at	protein_coding
ENSRNOG00000028869	ENSRNOT00000048460		protein_coding
ENSRNOG00000016631	ENSRNOT00000022324		protein_coding
ENSRNOG00000008519	ENSRNOT00000011263		protein_coding
ENSRNOG00000008519	ENSRNOT00000086491	1376223_at	protein_coding
ENSRNOG00000008519	ENSRNOT00000086491	1389199_at	protein_coding
ENSRNOG00000024331	ENSRNOT00000033621	1396455_at	protein_coding
ENSRNOG00000047768	ENSRNOT00000072098	1367880_at	protein_coding
ENSRNOG00000047768	ENSRNOT00000083578	1367880_at	protein_coding
ENSRNOG00000015415	ENSRNOT00000020822	1367874_at	protein_coding
ENSRNOG00000015415	ENSRNOT00000020822	1386967_at	protein_coding
ENSRNOG00000029613	ENSRNOT00000043588		protein_coding
ENSRNOG00000037217	ENSRNOT00000089831		protein_coding
ENSRNOG00000037217	ENSRNOT00000031484		protein_coding
ENSRNOG00000027232	ENSRNOT00000026969		protein_coding
ENSRNOG00000038024	ENSRNOT00000057854		protein_coding
ENSRNOG00000010804	ENSRNOT00000014337		protein_coding
ENSRNOG00000024801	ENSRNOT00000063952	1373227_at	protein_coding
ENSRNOG00000011492	ENSRNOT00000034446	1378609_at	protein_coding
ENSRNOG00000026527	ENSRNOT00000036745	1384760_at	protein_coding
ENSRNOG00000030736	ENSRNOT00000051917	1371959_at	protein_coding
ENSRNOG00000028518	ENSRNOT00000006482		protein_coding
ENSRNOG00000015105	ENSRNOT00000020366	1387629_at	protein_coding
ENSRNOG00000015105	ENSRNOT00000020366	1379366_a_at	protein_coding
ENSRNOG00000055886	ENSRNOT00000082845		pseudogene
ENSRNOG00000019212	ENSRNOT00000026280	1368215_at	protein_coding
ENSRNOG00000031555	ENSRNOT00000049256		protein_coding
ENSRNOG00000020939	ENSRNOT00000063879	1376359_at	protein_coding
ENSRNOG00000057190	ENSRNOT00000091092		pseudogene
ENSRNOG00000001430	ENSRNOT00000001941	1398914_at	protein_coding
ENSRNOG00000002208	ENSRNOT00000003001	1392556_at	protein_coding
ENSRNOG00000002208	ENSRNOT00000003001	1395059_at	protein_coding
