ID	ZT00	ZT04	ZT08	ZT12	ZT16	ZT20	ZT24	ZT28	ZT32	ZT36	ZT40	ZT44	ZT48
AGAP001856	8.54630424900262	9.53649487678115	9.66820003633029	7.8220800777606	6.83272590516655	6.853935891995	8.37991057385662	9.661317146099	9.71929968638529	7.85547665070317	6.87987855253101	6.71174730384094	8.50776815575095
AGAP001856	5.27607105689349	5.42384256632914	5.29494370368762	5.33399957365997	5.38362024640474	5.22020466843809	5.25018216408306	5.25629447383302	5.43990528371489	5.39994310413153	5.43120208237232	5.30739504225854	5.5092744379889
AGAP004443	9.48005649036726	9.42563874726184	9.39196794822777	9.46402452851439	9.25847716236522	9.45173973743027	9.20295498174534	9.34977883629651	9.46740061647195	9.50241582447634	9.38095918405697	9.69868642397645	9.41787872970717
AGAP004443	5.41557514036819	5.19083097788513	5.45592909949772	5.18108626306751	5.36198219595102	5.18956171115284	5.24070687759807	5.25819432509355	5.11831667063494	5.08466343181255	5.09208167607887	5.28843098076722	5.3823131127232
AGAP004443	8.08963004778593	8.14274932408827	7.95366242260174	7.9178802286915	7.91399261052695	8.12974266343657	7.87300334224158	7.96495322490616	7.94641080830681	8.12289671389939	7.84691618190099	8.19198247283734	7.87246794217794
AGAP005655	6.10198522931145	6.12323042063679	6.28151654805588	6.76842157852363	6.9758724859271	6.39759932045263	6.25646935269713	6.27097669743821	6.22906861180616	6.78274829076896	6.768335874493	6.19954210054071	6.19046422394639
AGAP005655	5.55612788238014	5.73532695423455	5.89112895704856	7.10169164571534	7.08271002801338	5.91791282743824	5.2005769164857	5.58023313622488	5.91427785988524	6.79902005945242	7.02360823399655	6.20132926400009	5.75478925659774
AGAP005655	6.82799662540752	6.76167743921787	7.35473390604993	8.74924977419026	8.68695916241106	7.65328644189302	6.58967933566009	6.82698758066107	7.15831194491882	8.66426015116115	8.65316577963759	7.61098443227263	6.48532053405991
AGAP005711	5.28087347484325	5.46066986821917	5.42962938298404	5.62323633509062	5.41696920387135	5.64193242443329	5.6163974222689	5.35423039824681	5.4146685059552	5.71057231316612	5.56821934433443	5.55855379936755	5.35761197728632
AGAP005711	6.59921820583066	6.50892149828123	6.62595685551349	6.81711548961778	6.66977344526472	6.63694866467452	6.70012721128034	6.6026642336346	6.57335378855047	6.7624568525723	6.91581462243252	6.74601508841667	6.72384907306168
AGAP006376	9.79687227666945	9.83563353318115	9.6381572385356	8.90945782031578	8.50206216306119	8.52456842274695	9.73363577317797	9.78895304789733	9.71980768002341	8.79794336481016	8.31532181277079	8.44379327071744	9.6427018686862
AGAP007801	7.90372115784325	7.67254796449395	7.56939653787636	7.46047762233054	7.32636589579312	7.88011600179034	7.91339977224038	7.89070022287774	7.61271609484756	7.12219148840099	7.27487016382278	8.0286104381456	7.84624498395529
AGAP008288	10.8649434414592	11.3472903265048	11.2688862320083	10.051313129357	9.49852066769064	9.21212354384175	10.8981716588926	11.3789036800428	11.3545321496808	10.090817151447	9.21098951178971	9.22863435949507	10.9706133859885
AGAP008288	10.1048822934158	10.3640198775442	10.1266461928595	9.15779092802682	8.32141044087006	8.37446601670066	9.82474407150163	10.2130510667466	10.1944194125214	9.09203751317149	8.28738261715407	8.37135545142352	9.89615231718279
AGAP008476	8.17838129061596	8.1708618915485	8.13442640763873	8.16066638097175	8.13419216217131	8.23218057142362	8.19916536638465	8.1758354919552	8.15758978386003	8.19877055537748	8.16452295084876	8.2571891357887	8.09227912334923
