AFFY.ID	Gene.ID	Gene.Type
1367602_at	ENSRNOG00000056940	protein_coding
1367604_at	ENSRNOG00000005041	protein_coding
1367605_at	ENSRNOG00000003975	protein_coding
1367607_at	ENSRNOG00000017817	protein_coding
1367608_at	ENSRNOG00000049770	protein_coding
1367612_at	ENSRNOG00000007743	protein_coding
1367614_at	ENSRNOG00000017469	protein_coding
1367615_at	ENSRNOG00000013834	protein_coding
1367616_at	ENSRNOG00000008141	protein_coding
1367617_at	ENSRNOG00000052802	protein_coding
1367618_a_at	ENSRNOG00000052620	protein_coding
1367619_at	ENSRNOG00000012786	protein_coding
1367620_at	ENSRNOG00000001596	protein_coding
1367621_at	ENSRNOG00000020383	protein_coding
1367622_at	ENSRNOG00000003626	protein_coding
1367623_at	ENSRNOG00000021035	protein_coding
1367624_at	ENSRNOG00000017801	protein_coding
1367625_at	ENSRNOG00000056765	protein_coding
1367626_at	ENSRNOG00000016837	protein_coding
1367627_at	ENSRNOG00000000168	protein_coding
1367628_at	ENSRNOG00000009884	protein_coding
1367629_at	ENSRNOG00000042903	protein_coding
1367630_at	ENSRNOG00000020595	protein_coding
1367631_at	ENSRNOG00000015036	protein_coding
1367632_at	ENSRNOG00000049560	protein_coding
1367633_at	ENSRNOG00000049560	protein_coding
1367635_at	ENSRNOG00000036689	protein_coding
1367636_at	ENSRNOG00000014997	protein_coding
1367637_a_at	ENSRNOG00000001269	protein_coding
1367638_at	ENSRNOG00000014522	protein_coding
1367641_at	ENSRNOG00000002115	protein_coding
1367642_at	ENSRNOG00000005587	protein_coding
1367643_at	ENSRNOG00000008414	protein_coding
1367644_at	ENSRNOG00000054757	protein_coding
1367646_at	ENSRNOG00000010331	protein_coding
1367647_at	ENSRNOG00000032669	protein_coding
1367648_at	ENSRNOG00000016957	protein_coding
1367649_at	ENSRNOG00000009760	protein_coding
1367650_at	ENSRNOG00000013179	protein_coding
1367651_at	ENSRNOG00000020206	protein_coding
1367652_at	ENSRNOG00000061910	protein_coding
1367653_a_at	ENSRNOG00000008103	protein_coding
1367654_at	ENSRNOG00000030954	protein_coding
1367655_at	ENSRNOG00000042499	protein_coding
1367656_at	ENSRNOG00000011732	protein_coding
1367657_at	ENSRNOG00000004284	protein_coding
1367658_at	ENSRNOG00000052296	protein_coding
1367659_s_at	ENSRNOG00000008843	protein_coding
1367660_at	ENSRNOG00000012879	protein_coding
1367661_at	ENSRNOG00000011647	protein_coding
1367662_at	ENSRNOG00000003049	protein_coding
1367663_at	ENSRNOG00000019041	protein_coding
1367664_at	ENSRNOG00000018598	protein_coding
1367665_at	ENSRNOG00000018598	protein_coding
1367666_at	ENSRNOG00000003399	protein_coding
1367667_at	ENSRNOG00000043377	protein_coding
1367668_a_at	ENSRNOG00000046005	protein_coding
1367670_at	ENSRNOG00000003653	protein_coding
1367671_at	ENSRNOG00000021264	protein_coding
1367672_at	ENSRNOG00000015840	protein_coding
1367675_at	ENSRNOG00000033498	protein_coding
1367677_at	ENSRNOG00000021125	protein_coding
1367678_at	ENSRNOG00000013331	protein_coding
1367679_at	ENSRNOG00000018735	protein_coding
1367680_at	ENSRNOG00000008755	protein_coding
1367682_at	ENSRNOG00000017560	protein_coding
1367684_at	ENSRNOG00000050023	protein_coding
1367686_at	ENSRNOG00000011763	protein_coding
1367687_a_at	ENSRNOG00000033280	protein_coding
1367688_at	ENSRNOG00000018271	protein_coding
1367690_at	ENSRNOG00000053172	protein_coding
1367691_at	ENSRNOG00000017914	protein_coding
1367692_at	ENSRNOG00000058058	protein_coding
1367693_at	ENSRNOG00000055471	protein_coding
1367694_at	ENSRNOG00000010800	protein_coding
1367695_at	ENSRNOG00000003253	protein_coding
1367696_at	ENSRNOG00000014936	protein_coding
1367697_at	ENSRNOG00000000513	protein_coding
1367699_at	ENSRNOG00000049683	protein_coding
1367700_at	ENSRNOG00000003183	protein_coding
1367701_at	ENSRNOG00000020415	protein_coding
1367702_at	ENSRNOG00000009845	protein_coding
